id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,common_names,scientific_names,observations_count,taxa_count
98428363,42069,Red Fox,Vulpes vulpes,madland,https://inaturalist-open-data.s3.amazonaws.com/photos/163870068/medium.jpg,species,42054,1|2|40151|41573|42043|42054|42069,Animals|Chordates|Mammals|Carnivorans|Canids|Typical Foxes|Red Fox,Animalia|Chordata|Mammalia|Carnivora|Canidae|Vulpes|Vulpes vulpes,159,159
9826067,42223,White-tailed Deer,Odocoileus virginianus,dphyillaier,https://inaturalist-open-data.s3.amazonaws.com/photos/13452466/medium.jpg,species,42219,1|2|40151|152870|42158|42219|42223,Animals|Chordates|Mammals|Even-toed Ungulates and Cetaceans|Deer|White-tailed and Mule Deer|White-tailed Deer,Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Odocoileus|Odocoileus virginianus,133,133
99364531,42051,Coyote,Canis latrans,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/165619889/medium.jpeg,species,42044,1|2|40151|41573|42043|42044|42051,Animals|Chordates|Mammals|Carnivorans|Canids|Wolves and Dogs|Coyote,Animalia|Chordata|Mammalia|Carnivora|Canidae|Canis|Canis latrans,120,120
98639813,41663,Common Raccoon,Procyon lotor,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/164271793/medium.jpeg,species,41661,1|2|40151|41573|41660|41661|41663,"Animals|Chordates|Mammals|Carnivorans|Raccoons, Coatis, and Allies|Raccoons|Common Raccoon",Animalia|Chordata|Mammalia|Carnivora|Procyonidae|Procyon|Procyon lotor,81,81
96323888,906,Wild Turkey,Meleagris gallopavo,madeline168,https://static.inaturalist.org/photos/160008484/medium.jpeg,species,905,1|2|3|573|574|905|906,"Animals|Chordates|Birds|Landfowl|Pheasants, Grouse, and Allies|Turkeys|Wild Turkey",Animalia|Chordata|Aves|Galliformes|Phasianidae|Meleagris|Meleagris gallopavo,67,67
9999711,18204,Red-headed Woodpecker,Melanerpes erythrocephalus,cebye,https://inaturalist-open-data.s3.amazonaws.com/photos/13748035/medium.jpg,species,18158,1|2|3|17550|17599|18158|18204,"Animals|Chordates|Birds|Woodpeckers, Barbets, and Allies|Woodpeckers|Melanerpes Woodpeckers|Red-headed Woodpecker",Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|Melanerpes erythrocephalus,50,50
9826214,453109,Fisher,Pekania pennanti,dphyillaier,https://inaturalist-open-data.s3.amazonaws.com/photos/13452705/medium.jpg,species,453110,1|2|40151|41573|41770|453110|453109,Animals|Chordates|Mammals|Carnivorans|Mustelids||Fisher,Animalia|Chordata|Mammalia|Carnivora|Mustelidae|Pekania|Pekania pennanti,49,49
98389273,508048,Sandhill Crane,Antigone canadensis,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/163807984/medium.jpg,species,508044,1|2|3|4|23|508044|508048,"Animals|Chordates|Birds|Cranes, Rails, and Allies|Cranes|Antigone Cranes|Sandhill Crane",Animalia|Chordata|Aves|Gruiformes|Gruidae|Antigone|Antigone canadensis,48,48
98416342,46017,Eastern Gray Squirrel,Sciurus carolinensis,madland,https://inaturalist-open-data.s3.amazonaws.com/photos/163847746/medium.jpg,species,45994,1|2|40151|43698|45933|45994|46017,Animals|Chordates|Mammals|Rodents|Squirrels|Tree Squirrels|Eastern Gray Squirrel,Animalia|Chordata|Mammalia|Rodentia|Sciuridae|Sciurus|Sciurus carolinensis,47,47
8794955,1,Animals,Animalia,gayatri_narayanan,https://inaturalist-open-data.s3.amazonaws.com/photos/11807488/medium.jpg,kingdom,48460,1,Animals,Animalia,37,2341
