user_id,user_login,observation_ids,observation_count
204496,jonpoppele,3667907;3667985;3731899;3731936;3825409;3825913;3825914;3825915;3825916;4131545;4131581;4131641;4131901;4131902;4132082;4132297;4132322;4132485;4132864;4133018;4133376;4135116;4135117;4135120;4135121;4135705;4135706;4135707;4136883;4191807;4191854;4191882;4191921;4199610;4199620;4199625;4199630;4413800;4413801;4413803;4413804;4413805;4413806;4413807;4413808;4413809;4413810;4413811;4413812;4413813;4413814;4837802;4837803;4837805;4837806;4837807;4837808;4837809;4840468;4840469;4840470;4840471;4840472;4846890;4934503;4934504;5028666;5028667;5028668;5028670;5028671;5028672;5028673;5028675;6140449;6140451;6140452;6696379;6696386;6696389;6696391;6696393;6696396;6696397;6696400;6696402;6696403;6708643;6708644;6708645;6708646;6708648;6708649;6708652;6708653;6708654;6708655;7859989;7859992;7859993;7950591;7950595;7950599;7950644;7950647;7950652;7950656;7950660;7950666;8493780;8493784;8493788;8493811;8493819;9814531;9814534;9814540;9814544;9814551;9814557;9814559;11659940;11659972;11660260;11660386;11660456;12018172;12018173;12018174;12018273;12018428;14446129;14446146;14446154;14446173;14446185;14446192;14446201;14446211;14446236;14446243;14446249;14446257;14446268;14446290;14446300;14446311;14446328;14455141;14455142;14455143;14455145;14455146;14456036;14693891;14706644;14706659;16812903;16812925;16812951;16812972;16813046;16813062;16813066;16813069;16817822;16817824;16817825;16817826;16817827;16873949;16873963;16873980;16875214;16875215;16875216;16875219;16875221;16876160;16876161;16876162;16876424;16876724;16876726;16876798;16877504;16877505;16877506;16877508;16877509;16878093;16909318;16909319;16909320;16912620;17051430;17051458;17051523;17051537;17051542;17051590;17051603;17065513;17065514;17065515;17065518;17065519;17065520;17065523;17065864;17065865;17067894;17085330;17085340;17540836;17540837;17540839;19147645;19147651;19147655;19179661;19180181;19180182;19243519;19243520;19243521;19243523;19243642;19243643;19974037;19974043;19974272;19974279;19974281;19974524;19974543;19974739;20525512;22485614;22485653;22485677;22485702;22485712;22485722;22485759;23065833;23097851;23097870;23097915;23097959;23097978;24221517;24759584;24760676;24761683;24762597;24762601;24762603;24762604;24762607;28752837;28752849;28752869;28752879;28752891;28752915;28752962;28753001;28753050;28753062;29995776;29995777;29995778;29995782;29995784;29995785;29996588;29996589;29996590;29996593;29996594;29996595;29997024;29997026;29997027;29998755;29998927;31558250;32122579;33142823;33142866;33142884;33156773;33156813;33156837;33156864;33156884;33156899;33156915;33156943;33171917;33171918;33171919;33171922;33171923;33221490;33221532;33221554;33221591;33221602;33221621;33221648;33221677;33221684;33221699;33221721;33221741;33221754;33221778;33221801;33221833;33221840;33221865;33221877;33221901;33221922;33221960;33221972;33221994;33222008;33222023;33222035;33222050;33222071;33222083;33222089;33222105;33222113;33222150;33222178;34438714;34438715;36837350;36837414;36838487;36838502;36838516;36838524;36872226;36872246;36872262;36872273;36872291;36872304;36872313;36872327;37020398;37020421;37497968;37498025;37498038;37508015;37508016;37508017;37508019;37508023;37533078;37533096;38571160;38573449;39056145;39056156;39056280;39056303;40558927;40558928;66157530;66157553;66171453;66171694;66171695;66171696;66171697;66171698;66171699;66171701;66171702;66171856;66252302;67120248;67120249;67120250;67120251;67120252;67149560;67149561;67149562;67149563;67149565;67149566;67149568;67149570;67149571;67149572;67149574;67206079;67206083;67206250;69168563;69168565;69168566;69170163;69170165;69171014;70705132;70705134;70707264;70708423;70708426;70708428;70753056;70753057;70754443;73044742;73044752;77307289;77995361;79535466;79535477;79535492;79535502;79535509;79535517;79535521;79539686;79539690;79540985;79540986;79800430;79800432;79800433;79800435;79800436;79814057;80272008;83166037;83171002;83411207;83411774;83415140;83415141;83415142;83416192;91564687;91564688;91564691;91568789;91568791;91568792;91568799;91568804;91568808;91568815;98639813;99364531;99364532;99364533;99364535;99364536;99364541;99364544;99364546;99364547,473
282454,kirstenwelge,3822738;3822924;3823182;3823520;3823741;3823839;3823956;3824915;9814203;9814269;9814451;14391606;14391627;14391825;14391838;14399835;14399872;14399883;14399919;14399972;14400011;14400074;14440919;14440934;14441000;14441039;14441068;14441177;14441216;14441288;14441308;14441360;14441452;14441636;14441768;14441842;14441872;14441934;14443459;14443466;14443489;14443497;14443521;14443539;14443558;14443568;14443583;14443597;14443611;14443620;14443678;14443690;14443722;16799109;16799176;16799190;16799217;16799240;16799271;16799294;16799377;16799394;16799405;16799413;16799456;16799486;16799514;16799720;16799726;16799742;16799803;16799833;16799883;16799903;16799921;16799944;16799977;16820566;16820568;16820571;16820608;16820635;16820649;16820655;16820667;16820675;16820678;16820684;16820693;16820714;16820717;16820730;16820739;16820763;16820772;16820834;16820841;16820845;16820861;16820865;16820875;16820876;16820880;16846896;16846947;16846951;16846978;16846992;16847034;16847039;16847044;16847054;16847081;16847094;16847117;16847159;19895244;19895275;19895351;19895383;19895407;19895496;19895502;19895521;19895531;19895538;19895558;19895588;19895596;19895612;19895618;19895622;19895633;19895686;19895702;19895741;19895770;19895774;19895786;19895835;19895873;20048539;20048549;20048561;20099160;20099221;20099279;20099424;20100435;20100511;20100592;20100648;20100786;20100882;20100957;20101063;20101218;20101522;20101673;20101749;22440305;22440365;22440408;22440440;22440463;22440632;22440721;22440762;22440807;22440836;22440858;22440901;22440948;22443436;22443452;22443471;22443512;22443527;22443544;22443557;22443570;22443584;22443620;22443630;22443642;22463937;22464051;22464094;22464126;22464129;22464148;22464183;22464221;22464262;22464340;22464411;22464443;22464474;22464527;22464551;22464593;22464635;29051368;29051409;29051646;29051671;29051759;29051802;29051902;29051941;29051993;29052033;29052062;29052141;29052215;29052268;29052323;29052425;29052466;29052487;29052529;29052591;29052664;29052772;33043610;33043648;33043699;33044072;33044105;33044127;33044133;33044170;33044209;33171673;33171742;33171758;33171766;33171774;33171785;33171800;33171823;33171849;33171874;33171883;33171892;33171899;33171916;33171920;33171929;33171943;33171957;33171964;33171975;33194134;33194230;33194536;33194592;33195941;33196011;33196088;33196785;33198262;33198906;33199780;33199853;33201350;33201693;33202524;33205041;33205069;33205878;33206659;33209418;33209951;33210191;33210856;33211339;33215124;33216104;33219328;34455775;37488032;37488433;37489079;37489703;37490129;37490924;37491061;37491184;37491816;37491999;37492199;37492491;37492605;37493149;37493674;37494285;37495528;37495880;37496196;37496611;37529168;38670557;38670808;38671224;38671263;38671696;38672322;38672357;38673249;38674194;61897704;61898468;69105859;69105903;69105934;69105946;69105991;69106032;69106534;69106589;69175921;69175962;69175996;69176023,325
263792,caitlin_potter,3825637;3825671;3825697;3825707;3825725;3825754;3825879;3826095;4122978;4391729;4391730;4391731;4391732;4391733;4391813;4391814;4391817;4391818;4391831;5018477;5018479;5018480;5018481;5018482;5018483;5018484;5018486;6691417;6691463;6696429;6696433;6696434;6707296;6707298;6707304;6707305;6707306;6707309;6707313;6707314;6707316;6707318;6707322;6707323;6707324;6707341;6707364;6707372;6707376;6707378;7043417;7043435;7043441;7043445;7043471;9130762;9130820;10318720;10318734;10318802;10319096;10319097;10319098;10319099;10319100;10319101;10319102;10319103;10319104;10319105;10528515;10528517;10528520;11522470;11522496;11522530;11522547;11522664;11643905;11644011;11644044;11644081;11644138;11644188;11644210;11644349;11644373;11644410;11644440;11644455;11644489;11644512;11644569;11644705;11644841;13617106;13617117;13617123;13617156;13617168;13617173;13617208;13617222;13617230;13617238;13617261;13617271;13617314;13900849;13900850;13900852;13900856;14331669;14331670;14331671;14331866;14331868;14331872;14331874;14331875;14331876;14390785;14390797;14400170;14400172;14415408;15485713;15487992;15487997;15782518;18806697;18806698;18806699;18806701;18806702;18806703;19111281;19111282;19111284;24765787;28754561;28754569;28754592;28754607;28754614;28754621;28754660;28754679;28754722;28754746;28754759;28754786;28754827;28754848;28754886;28754901;28754912;28754928;28754941;28754972;28755033;28755040;28755054;28755068;28755081;28755111;28755120;28755144;28755158;28755185;28755226;31138152;33139491;33139503;33139518;33139535;33139547;33139605;33139632;33139664;33139672;33139678;33139710;33139729;33139742;33139754;33139780;33139796;33139806;33782222;33782226;37494328;37494351;37494365;37494373;37494389;37494407;37494413;37494426;37494436;37494451;37494475;38042042;39059813;46678739;52960200;60603480;60604958;73203785;73204807;74247533;74248236;74752313;81362891;81362934;81362942;82466020;82717969;83513356;83513374;83513475;83513495;83513514;83513555;83513579;83513613;83513636;83513727;83513787;90816039,230
387348,cebye,5451406;5786365;5786408;5917494;5917788;5932297;5939148;5939179;5939198;6129522;6129535;6129544;6129556;6129562;6129578;6129699;6202421;6204923;6204932;6204939;6204952;6204963;6205080;6205819;6205824;6205835;6205870;6206000;6206409;6226209;6246139;6246151;6246347;6246356;6246370;6254903;6254916;6254939;6254953;6254976;6254993;6255010;6255025;6255033;6255039;6255049;6255055;6285943;6399823;6400140;6408644;6410020;6410032;6410044;6410086;6414645;6415010;6415018;6415053;6415063;6426660;6426678;6426697;6429901;6429905;6429908;6429933;6439439;6439457;6439467;6439474;6455508;6455644;6710513;6780514;6780546;6781106;6781121;6781127;6781132;6781226;6781305;6781467;6781557;6781727;6781822;6781842;6781851;6781929;6783197;6783268;6783375;6783509;6790889;6897306;6897312;6897400;6897429;6901324;6909082;6909210;6910405;6910503;6910915;6910995;6969714;7005037;7005050;7005077;7005129;7005136;7131391;7178237;7178255;7178311;7178414;7178421;7187426;7187432;7187435;7187800;7187899;7187974;7188077;7188093;7191841;7223939;7223969;7224059;7224152;7232843;7233218;7350155;7350403;7351819;7357898;7357904;7358130;7358189;7363416;7380638;7380718;7380784;7380833;7387237;7387246;7387297;7387393;7387401;7387553;7387572;8919212;8922606;8922632;8922640;8922698;9013001;9013012;9522905;9973791;9999711;9999722;10398415;10400053;10402308;10402334;10402368;10402399;10402494;10402773;10402805;10402914;10402947;10403128;11334187;11343412;11343691;11344741;11345202;11345273;11345344;11345408;11345767;11345805;11345912;11349046;12129704;12130030;12130277;12176074;14624772;14624808;14624825;14624847;14624867;14624903;14624943;14624975;19884348;19950478;19950484;19950737;21052929;32483378;32484553;32484710;32485971;32489646;32495208;32495329;32495437;32495877;32904014;32904098;32904704;34637297;34666729;34667020;34667059;34667697;34667762;34668217;34668449;34668684,224
912975,jenniferf4,71228441;71228442;71228443;71228445;71228446;73484341;73484342;73484343;73484346;73484347;73484348;73484349;74892393;74892395;74892396;74892397;74892398;74892399;74892402;74892403;74892404;74892406;76623887;76623891;76623892;76623901;76623902;76623903;76623906;76623907;76623909;76623915;76623916;76623917;76623926;76623927;76639034;76639042;76639043;76639045;76639047;76639048;76639052;76639056;76639061;76639066;76644756;76644765;76644771;83735915;87221490;87221493;87221494;87221497;87221498;87221501;87221503;87226415;87226416;87226417;87226418;87226419;87226420;87226421;87226422;87226424;87251277;87251278;87251279;87251280;87251281;87251282;87251283;87251284;87251285;87251286;87251287;89809520;90252174;90252175;90257810;90257811;90257812;90257813;90257815;90257816;90257818;90257820;90257821;90257823;90257824;90257825;90259770;90259771;90259773;90259774;90259775;90266322;90266327;90266328;90266329;90276178;90276180;90276181;90276184;90277908;90278020;90286276;90286281;90286282;90286286;90286287;93430267;93430434;93459085;93459086;93459088;93459090;93459988;93459989;93461707;93568261;93569718;93570132;93570133;93570969;93571399;93572693;93573013;93573395;93573938;93575550;96743856;96744034;96744238;96744617;96745207;96766789;96767001;96767251;96768376;96768800;96769299;96769412;96769507;96769567;96770290;96771569;96771613;96773027;96773113;96773510;96773786;96773912;97004690;97005001;97129631,157
72752,dphyillaier,3728593;3730422;3732091;3732096;3732117;3732130;3832666;4413781;4413816;4413850;4413892;6008202;6009253;6009304;6009356;6009586;6009655;6009722;6009778;6113790;6113867;6115604;6159557;6159618;6697773;6697781;6697786;6697790;6697791;6794292;7966313;7978070;7978086;7978107;7978112;8493686;8493696;8493702;9826039;9826067;9826145;9826187;9826214;9826229;11658939;11659071;11659728;11659846;11659951;11660155;11660695;11660911;11731815;11732138;11732208;11732272;16800747;16800762;16800772;16800792;16810005;16810029;16810288;16810473;16811928;16811947;16811984;16811989;16811995;18535382;19884534;19884570;19884584;22430252;22430259;22430280;22430289;22430301;22430316;22430335;22430350;22430357;22430410;22430442;22430447;30603773;30603788;30603796;30603814;30603817;30603841;30603881;30603911;30603920;30603928;30603933;30603939;30603949;30603956;30603964;33171506;96888341;96888682,103
1391921,tillerybailey,20510801;20510912;20510931;20510945;20538569;20538610;20556215;20703473;23501899;23503139;23503229;23503506;23503701;23504092;23504211;23504339;23504621;23505253;23505349;23505453;23505586;23506174;23506591;23506711;23506789;23507059;23759855;23760289;23760607;23760804;23760953;24234078;24731196;24731896;26004046;26450083;26453806;27573646;27573666;27573701;27573736;27574213;27708760;28446703;28446728;28939215;28940990;28941328;30316045;30692515;30692609;30692636;30711129;30716895;30824780;31190301;31191272;31191358;32119986;32119998;32120012;32120034;32120073;32198636;32198658;32641626;32837384;33483265;33483286;33533278;33534335;34170087;34780355;38316088;46495062;46502393;46503428;49336050;51435266;51693287;51736757;51736954;51737015;51737398;51757980;51758450;52388105;52389017;58160291;58165476;58165718;58165866;58182372;79819538,94
817009,snailkites,12824010;12844618;12844635;12844640;12994834;12994842;12994859;13119898;13122715;13215243;13215429;13221859;13371917;13372063;13372074;13372136;13564354;13587245;13587277;13587293;13587305;13587311;13587334;13620820;13620840;13631616;13631622;13636523;13823294;13843258;13843329;13871608;13875425;13875430;14294884;14316554;14327120;14357794;14367138;14369700;14501933;14502967;14511164;14672260;14672506;14691443;14691468;14801100;14810783;14819723;14965918;15056772;15093169;15148205;15218392;15218396;15218406;15264413;15264516;15302243;15302326;15439092;15439239;15439242;15461674;15507045;15507129;15640674;15766581;15769236;15769256;15795793;15795802;15795812;15799408;15823730;15831375;15831394;15958261;15958329;15979706;16019682;16019715;16327015;16328011;16328065;16404424,87
3318579,savannajo8,60439411;60748996;60749946;60757167;60776095;65484459;66433415;66433436;68771514;70055144;70894032;70900288;73051464;73052355;73053283;77348827;78509446;78509597;78512962;78514699;80157682;80276139;81224350;81884164;82178440;84230511;84563120;84564342;84573305;84587223;84587298;86284187;87195682;87856591;88167262;88167899;88172629;88172715;88178057;88179116;88179545;88180058;89672362;89673582;89785149;89974599;90694302;90696954;90698615;90700067;90700158;90700887;90702551;90933462;91433741;91445627;91741725;91744886;91745527;91864886;92283459;92573147;92966255;93048410;93357605;93358183;93365652;93366309;93369388;94319354;95795702;96152506;96819557;96819637;98810262;99387262,76
392339,smansfield,5018812;5018820;5018830;5018831;5018835;5018837;5018854;5018858;5018862;5018937;5018955;5018981;5022582;16974377;16974492;17036985;17037040;17037078;17037160;17037214;17037295;17037374;17037416;17037464;17037622;17037678;17037827;17038040;17038099;17038132;17038173;17038244;17038312;17038372;17038415;17038471;17038532;17038651;17038717;17038751;17038765;17038772;17038787;19935948;19935958;19935964;19935972;19935998;19936077;19936120;22412526;22413099;22418449;22419278;22421923;22422489;22423752;33219717;33219811;33226389;33226416;33226450;33226466;33226491;33226504;33226559;41479582,67
