id,time_observed_at,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,taxon_ids
6298887,2017-05-18T23:20:46Z,jcentavo,research,,https://static.inaturalist.org/photos/7930220/medium.jpg,"Doing a little nectar feeding at night in Lima, Peru",-12.112298,-77.038149,,open,False,Glossophaga soricina,Pallas's Long-tongued Bat,41090,1|2|40151|40268|40991|41089|41090
19040789,,ruben_guzman_p,needs_id,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/29205519/medium.jpg,                               ,-11.9887876679,-76.7987463105,,open,False,Phyllostomidae,New World Leaf-nosed Bats,40991,1|2|40151|40268|40991
30199758,,ruben_guzman_p,needs_id,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/47167723/medium.jpg,"Ejemplar encontrado muerto, falta la punta de la lengua.",-11.9888740405,-76.7985783506,,,False,Glossophaga,Long-tongued Bats,41089,1|2|40151|40268|40991|41089
32254759,2019-09-07T05:04:43Z,rafaelgarrido99,needs_id,,https://static.inaturalist.org/photos/50573802/medium.jpg,,-12.098625,-76.9901416667,,,False,Glossophaga,Long-tongued Bats,41089,1|2|40151|40268|40991|41089
59183127,2020-09-10T00:17:58Z,santosgumercindoperezhuanca,needs_id,,https://static.inaturalist.org/photos/94547796/medium.jpeg,,-12.3560365622,-76.7952805012,,,False,Eptesicus,House Bats,40477,1|2|40151|40268|40269|40477
59603049,2017-08-28T00:18:00Z,bio_jpacheco,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95244463/medium.jpeg,Entrada de un refugio ubicado en un socavón abandonado de minería artesanal en Lomas de Ancón,-11.7211298656,-77.007803082,,obscured,True,Platalina genovensium,long-snouted bat,41133,1|2|40151|40268|40991|41132|41133
59606392,2015-10-18T10:28:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247848/medium.jpg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.664687,-76.667879,,open,False,Artibeus fraterculus,Fraternal Fruit-eating Bat,40998,1|2|40151|40268|40991|40992|40998
59606394,2015-10-18T10:28:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247866/medium.jpeg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.664687,-76.667879,,open,False,Artibeus fraterculus,Fraternal Fruit-eating Bat,40998,1|2|40151|40268|40991|40992|40998
59606395,2015-10-26T20:10:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247875/medium.jpeg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.664687,-76.667879,,open,False,Desmodus rotundus,Common Vampire Bat,41168,1|2|40151|40268|40991|41167|41168
59606398,2016-08-04T06:48:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247915/medium.jpeg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.404167,-75.850833,,open,False,Sturnira bogotensis,Bogotá Yellow-shouldered Bat,41040,1|2|40151|40268|40991|41039|41040
59606399,2013-09-17T11:10:00Z,bio_jpacheco,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247926/medium.jpeg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.7242340959,-76.720096755,,obscured,True,Myotis atacamensis,Atacama myotis,40293,1|2|40151|40268|40269|40270|40293
59606402,2015-10-18T08:01:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/95247939/medium.jpeg,Registro de individuo capturado a la salida de refugios previo a liberación,-12.664687,-76.667879,,open,False,Nyctinomops aurispinosus,Peale's free-tailed bat,41313,1|2|40151|40268|41226|41311|41313
60367488,2020-09-21T22:51:18Z,katyachalco,casual,,https://static.inaturalist.org/photos/96522168/medium.jpeg,,-12.1522733,-76.9543515,,,False,Vespertilionoidea,Vespertilionoid Bats,446959,1|2|40151|40268|446959
60467567,2020-09-22T22:52:00Z,fayruzmendoza,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/96691355/medium.jpeg,,-12.0797778,-77.0477213,,,False,Vespertilioninae,Vesper Bats,846180,1|2|40151|40268|40269|846180
60472216,2020-09-23T04:45:32Z,mateblogs,casual,CC-BY-NC,https://www.inaturalist.org/assets/copyright-infringement-medium.png,,-12.1777928,-77.0057271,,,False,Vespertilionidae,Evening Bats,40269,1|2|40151|40268|40269
60627092,2013-09-17T01:49:14Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/96957823/medium.jpeg,,-12.6642803127,-76.6678956896,,open,False,Glossophaga soricina,Pallas's Long-tongued Bat,41090,1|2|40151|40268|40991|41089|41090
61135502,2016-10-29T02:03:00Z,bio_jpacheco,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/97798910/medium.jpeg,Murciélago lengüetón atrapado y liberado en la universidad nacional agraria de La Molina,-12.0826725233,-76.9454210979,,open,False,Glossophaga soricina,Pallas's Long-tongued Bat,41090,1|2|40151|40268|40991|41089|41090
61138540,2020-09-26T20:07:00Z,bio_jpacheco,research,CC-BY-NC,,Llamadas de ecolocación y Sociales de Tadarida brasiliensis en refugios rocosos,-12.204156,-76.879211,,open,False,Tadarida brasiliensis,Mexican Free-tailed Bat,41301,1|2|40151|40268|41226|41293|41301
61528541,2020-10-03T01:52:00Z,cienciaciudadanaperu,casual,CC0,,"Se vieron más de 30 murciélagos. Árbol fue cortado .
Registro: Nicole Henriod Cariat",-12.1084947802,-76.9868906395,,,False,Chiroptera,Bats,40268,1|2|40151|40268
61731541,2020-10-01T23:27:00Z,cienciaciudadanaperu,research,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/98812308/medium.jpeg,"Alimentación en Tutumo

VIDEO:
https://drive.google.com/file/d/1iDnQjrpAm4imLpFVuB3P_o4z6A-Qk0iS/view?usp=sharing",-12.088033,-77.047611,,open,False,Glossophaga soricina,Pallas's Long-tongued Bat,41090,1|2|40151|40268|40991|41089|41090
64646248,,cienciaciudadanaperu,casual,CC0,,https://drive.google.com/file/d/11g0eAKFe1Wxrdm65ErcPx1itIi5njufd/view?usp=drivesdk,-12.1031380305,-76.9849351421,,,False,Chiroptera,Bats,40268,1|2|40151|40268
