user_id,user_login,observation_ids,observation_count
3444914,bio_jpacheco,59603049;59606392;59606394;59606395;59606398;59606399;59606402;60627092;61135502;61138540;69109079,11
1422795,cienciaciudadanaperu,61528541;61731541;64646248;68084488;68887730;87554703;89238307;89238309;93108970,9
1426838,gabriela146,89582155;89582158;93112332,3
2527211,thaliavillana,69026977;69027084;69088922,3
1388099,ruben_guzman_p,19040789;30199758,2
1448309,rafaelgarrido99,32254759;92316119,2
3934942,cesar67,69396708;91069144,2
2755541,wilfredo14,68644852,1
2828348,andreaavh,75250604,1
3083525,herbertgc,69867993,1
3591771,santosgumercindoperezhuanca,59183127,1
3629343,mateblogs,60472216,1
3642568,katyachalco,60367488,1
3652103,fayruzmendoza,60467567,1
4621646,lucianagalvan,84013109,1
9294,jcentavo,6298887,1
