id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
3844943,2016-03-29T12:02:34Z,299455,globalgator7,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4502260/medium.jpg,,-12.0871284088,-77.009548594,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
5893884,2016-12-19T18:39:00Z,29409,eccentric_entomophile,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/7347455/medium.jpg,"Honey bee, pollinating a flower. ",-12.125932,-77.037022,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
7538426,2017-08-17T19:36:35Z,560444,erio_castro,research,,https://static.inaturalist.org/photos/9834289/medium.jpg,,-12.1056555,-77.0125888833,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
8222571,2017-10-02T15:19:15Z,561019,pierogiuffra98,research,,https://static.inaturalist.org/photos/10899773/medium.jpg,,-12.0685805,-77.0798638333,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
8873373,2017-11-20T15:36:19Z,711599,lanarizotabonita,needs_id,,https://static.inaturalist.org/photos/11931745/medium.jpg,,-11.9828013796,-76.7953846884,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
9388670,2017-11-20T20:00:22Z,743047,lanarizaudiovisual,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/12756164/medium.jpg,,-11.9827708108,-76.7954514114,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
9527880,2018-01-19T13:26:40Z,561019,pierogiuffra98,research,,https://static.inaturalist.org/photos/12992145/medium.jpg,,-12.0696166667,-77.0824583333,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
10055964,2018-02-25T18:53:46Z,580989,pablo82,research,,https://static.inaturalist.org/photos/13841790/medium.jpg,,-12.2583346515,-76.9170843896,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
11381771,2018-04-07T16:12:00Z,24973,annikaml,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/16221432/medium.jpeg,,-11.361008,-77.363169,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
12607924,2018-05-19T16:46:30Z,892152,juancarloscano,needs_id,,https://static.inaturalist.org/photos/18229383/medium.jpg,,-11.978595,-76.76442,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
14424611,2018-07-16T20:28:00Z,698801,beastmaster,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/21462554/medium.jpg,,-12.1022466903,-77.0227745892,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
18352166,2018-11-12T05:14:00Z,1344922,denzel3,research,,https://static.inaturalist.org/photos/28047676/medium.jpeg,,-12.0615308,-77.0526685,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
20748294,2019-02-24T22:24:25Z,1448309,rafaelgarrido99,needs_id,,https://static.inaturalist.org/photos/31992418/medium.jpg,,-12.1253068767,-77.0381625171,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
23019588,,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/35684168/medium.jpeg,,-12.0832272,-77.0646611061,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23198766,2019-04-26T19:00:51Z,627312,gisellabassodeamat,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/35950991/medium.jpeg,,-12.0917684,-77.0634619,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23257743,2019-04-25T19:52:06Z,135350,manimiranda,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/36038383/medium.jpg,,-12.1077528333,-77.0341195,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23374311,2019-04-27T14:45:02Z,1662,awsalas,research,CC-BY,https://static.inaturalist.org/photos/36206138/medium.jpg,,-12.1026529514,-76.9898165005,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23375384,2019-04-27T14:49:24Z,1662,awsalas,research,CC-BY,https://static.inaturalist.org/photos/36207599/medium.jpg,,-12.1026051927,-76.9898515791,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23675584,,1662,awsalas,research,CC-BY,https://static.inaturalist.org/photos/36642448/medium.jpeg,,-12.0856024,-76.9939173,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23692890,,1662,awsalas,research,CC-BY,https://static.inaturalist.org/photos/36657380/medium.jpeg,,-12.0856024,-76.9939173,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
23736377,,1649775,jesusmauriciopisco,research,,https://static.inaturalist.org/photos/36723515/medium.jpeg,,-12.088214,-77.040452,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
24090961,,1662,awsalas,needs_id,CC-BY,https://static.inaturalist.org/photos/37494676/medium.jpeg,,-12.207,-76.82,,,False,Centris,,578099,subgenus,1|47120|47158|47201|47221|174417|578099
24131265,,1682761,ruthgo,research,,https://static.inaturalist.org/photos/37316158/medium.jpeg,,-12.0683212336,-77.0414113998,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
26096231,,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/40490611/medium.jpeg,,-12.0858139102,-76.9559438049,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
26971658,2019-06-14T16:38:21Z,1874902,mariana219,needs_id,,https://static.inaturalist.org/photos/41917213/medium.jpg,,-12.0844932562,-76.9424627453,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
29130917,,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/45449920/medium.jpeg,,-12.0826712909,-77.0648042109,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
29131551,2019-07-19T19:26:00Z,1032462,steven-cyclist,research,CC-BY,https://static.inaturalist.org/photos/45451005/medium.jpeg,,-12.102005,-77.0356766667,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
29703987,,2031542,sandra_elisa,needs_id,,https://inaturalist-open-data.s3.amazonaws.com/photos/46371579/medium.jpeg,,-12.1134918897,-76.8024570565,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
32168498,2019-09-04T18:07:00Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/50426407/medium.jpeg,,-12.0845592782,-76.9488582177,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
32431271,2019-01-19T19:47:00Z,2234262,jbossiob,research,,https://static.inaturalist.org/photos/50864737/medium.jpg,,-12.148975,-77.0228361111,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
32493024,2019-09-10T18:27:00Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/50966112/medium.jpeg,,-12.0833043672,-76.9447884924,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
32567841,2019-09-11T18:03:16Z,19563,henicorhina,research,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/51093331/medium.jpg,,-11.3579033333,-77.3551783333,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
33431634,2019-09-24T18:43:55Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/52508121/medium.jpeg,,-12.09841,-77.057999,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
35533556,2019-11-10T16:39:53Z,2234262,jbossiob,research,,https://static.inaturalist.org/photos/56040188/medium.jpg,,-12.1162445,-77.0475778333,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
35820021,2019-11-18T15:30:48Z,1093305,rmribeiro,research,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/56531168/medium.jpeg,,-12.1102395772,-77.0332863182,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
37282158,2020-01-04T23:49:32Z,1448309,rafaelgarrido99,needs_id,,https://static.inaturalist.org/photos/59075267/medium.jpg,,-12.32882,-76.83415333,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
37473920,2019-03-14T01:24:58Z,2520779,mark_fieldsend,research,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/93588968/medium.jpeg,,-12.1080114106,-77.042690143,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
37593673,2020-01-14T15:17:00Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/59624735/medium.jpg,,-12.0841930053,-76.9468754314,,,False,Melitoma segmentaria,Segmented Turret Bee,270959,species,1|47120|47158|47201|47221|252669|270959
38029343,2011-12-17T20:02:00Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/60380827/medium.jpeg,A swarm of bees. All of them were gone after a couple of days,-12.0827674606,-77.0644874371,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
38250248,2020-02-01T22:52:32Z,785779,wowokayyes,research,,https://static.inaturalist.org/photos/60767043/medium.jpeg,Honey bee found foraging in park flower bed.,-12.12658589,-77.0364627242,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
38451044,2020-02-06T13:57:26Z,1448309,rafaelgarrido99,research,,https://static.inaturalist.org/photos/61111830/medium.jpg,,-12.1223305,-77.03227217,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
38586113,2020-02-11T22:45:55Z,785779,wowokayyes,research,,https://static.inaturalist.org/photos/61345001/medium.jpeg,,-12.1492938995,-77.0227432251,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
38767019,2020-02-02T18:40:00Z,785779,wowokayyes,research,,https://static.inaturalist.org/photos/61662132/medium.jpeg,,-12.2236661646,-76.9897028758,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
39288581,2015-10-17T02:32:30Z,2168790,jimmoore,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/62314411/medium.jpg,pin,-11.375315,-77.360644,,,False,Caupolicana,,174590,genus,1|47120|47158|47201|127740|174590
39322607,2020-02-28T23:36:18Z,292489,elliotgreiner,research,CC-BY,https://static.inaturalist.org/photos/62368989/medium.jpg,,-12.1482,-77.02262783,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
39335371,2020-02-25T18:01:00Z,586271,diego_amazonia,research,,https://static.inaturalist.org/photos/62390501/medium.jpg,,-12.0828052489,-77.0645041064,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
39431507,2020-02-29T17:15:00Z,2234262,jbossiob,needs_id,,https://static.inaturalist.org/photos/62558114/medium.jpeg,,-11.9998272238,-76.8295598823,,,False,Leiopodus,,252639,genus,1|47120|47158|47201|47221|252639
40138230,2020-03-17T18:15:13Z,2616573,juancarlos141,needs_id,,https://static.inaturalist.org/photos/63755026/medium.jpeg,,-12.0931105,-77.0654141,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
41114421,2020-03-31T17:19:07Z,1662,awsalas,needs_id,CC-BY,https://static.inaturalist.org/photos/65194160/medium.jpg,,-12.08569167,-76.993745,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
42623379,2020-04-19T20:25:43Z,4791,robertoeliasp,needs_id,CC-BY,https://static.inaturalist.org/photos/67685057/medium.jpg,,-12.120024642,-77.0171881193,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
42718826,2020-04-19T18:07:00Z,5101,capacoscar,needs_id,CC-BY,https://static.inaturalist.org/photos/67840443/medium.jpg,,-11.968371706,-76.7829054768,,,False,Neoxylocopa,,557049,subgenus,1|47120|47158|47201|47221|51111|557049
42918319,2020-02-08T15:20:29Z,1220375,alonsocg30,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/68149497/medium.jpg,,-12.22288,-76.97805,,,False,Xylocopa,Large Carpenter Bees,51111,genus,1|47120|47158|47201|47221|51111
43024552,2020-04-18T11:25:28Z,2820489,naomigenova,research,,https://static.inaturalist.org/photos/68315493/medium.jpeg,Lovely bee having breakfast 🐝,-11.9080791472,-77.0402069092,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
