id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count
99943932,47219,Western Honey Bee,Apis mellifera,capacoscar,https://static.inaturalist.org/photos/166724426/medium.jpeg,species,47220,1|47120|47158|47201|47221|47220|47219,249,249
99262977,557049,,Neoxylocopa,kalita1,https://static.inaturalist.org/photos/165435933/medium.jpeg,subgenus,51111,1|47120|47158|47201|47221|51111|557049,50,50
86554052,126545,Metallic Sweat Bees,Dialictus,ruthgo,https://static.inaturalist.org/photos/142604607/medium.jpeg,subgenus,57678,1|47120|47158|47201|49707|57678|126545,16,16
79084455,1073687,Brues' Mini-Digger,Exomalopsis bruesi,capacoscar,https://static.inaturalist.org/photos/129492703/medium.jpg,species,252943,1|47120|47158|47201|47221|252943|1073687,12,12
75994789,127741,Cellophane Bees,Colletes,capacoscar,https://static.inaturalist.org/photos/124342064/medium.jpg,genus,127740,1|47120|47158|47201|127740|127741,12,12
86439263,203037,Augochlorine Sweat Bees,Augochlorini,cpizan,https://inaturalist-open-data.s3.amazonaws.com/photos/142396999/medium.jpeg,tribe,49707,1|47120|47158|47201|49707|203037,11,11
99304138,51111,Large Carpenter Bees,Xylocopa,janeth_luna,https://inaturalist-open-data.s3.amazonaws.com/photos/165512417/medium.jpg,genus,47221,1|47120|47158|47201|47221|51111,11,61
76777783,270959,Segmented Turret Bee,Melitoma segmentaria,capacoscar,https://static.inaturalist.org/photos/125566185/medium.jpg,species,252669,1|47120|47158|47201|47221|252669|270959,7,7
99791936,630955,Bees,Anthophila,yani16,https://static.inaturalist.org/photos/166433338/medium.jpeg,epifamily,47201,1|47120|47158|47201|630955,7,7
89499719,82524,,Augochlora,cesar67,https://static.inaturalist.org/photos/147805413/medium.jpeg,genus,49707,1|47120|47158|47201|49707|82524,6,7
99943931,52784,"Leafcutter, Mortar, and Resin Bees",Megachile,capacoscar,https://static.inaturalist.org/photos/166724383/medium.jpeg,genus,52777,1|47120|47158|47201|52777|52784,5,10
74950370,578099,,Centris,capacoscar,https://static.inaturalist.org/photos/122560476/medium.jpg,subgenus,174417,1|47120|47158|47201|47221|174417|578099,5,5
68991098,61891,Blood Bees,Sphecodes,capacoscar,https://static.inaturalist.org/photos/111848225/medium.jpg,genus,49707,1|47120|47158|47201|49707|61891,4,4
81209954,252810,,Pseudaugochlora,cesar67,https://static.inaturalist.org/photos/133179714/medium.jpeg,genus,49707,1|47120|47158|47201|49707|252810,4,4
75254198,174417,,Centris,capacoscar,https://static.inaturalist.org/photos/123081451/medium.jpg,genus,47221,1|47120|47158|47201|47221|174417,3,9
99168427,49707,Sweat Bees,Halictidae,cesar67,https://static.inaturalist.org/photos/165260474/medium.jpeg,family,47201,1|47120|47158|47201|49707,3,58
89151583,50086,Striped Sweat Bees,Agapostemon,ruthgo,https://static.inaturalist.org/photos/147187559/medium.jpeg,genus,49707,1|47120|47158|47201|49707|50086,3,3
69080267,134106,Sweat and Furrow bees,Halictinae,capacoscar,https://static.inaturalist.org/photos/112012191/medium.jpg,subfamily,49707,1|47120|47158|47201|49707|134106,3,3
97365782,335597,,Halictini,nickyhc,https://inaturalist-open-data.s3.amazonaws.com/photos/161915248/medium.png,tribe,49707,1|47120|47158|47201|49707|335597,3,3
75254232,121514,Longhorn Bees,Eucerini,capacoscar,https://static.inaturalist.org/photos/123083586/medium.jpg,tribe,47221,1|47120|47158|47201|47221|121514,3,3
61134109,700468,,Cressoniella,jahnluk,https://static.inaturalist.org/photos/97793635/medium.jpg,subgenus,52784,1|47120|47158|47201|52777|52784|700468,3,3
64044072,252448,,Caenohalictus,awsalas,https://static.inaturalist.org/photos/102887586/medium.jpeg,genus,49707,1|47120|47158|47201|49707|252448,3,3
67807024,127812,Masked Bees,Hylaeus,ginagabriela,https://inaturalist-open-data.s3.amazonaws.com/photos/109649421/medium.png,genus,127740,1|47120|47158|47201|127740|127812,2,6
69737569,415012,,Eutricharaea,alessandra_torres1,https://static.inaturalist.org/photos/113226629/medium.jpeg,subgenus,52784,1|47120|47158|47201|52777|52784|415012,2,2
