id,time_observed_at,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,taxon_ids
1551812,2015-05-27T05:30:00Z,lgertzer,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1922322/medium.JPG,The moth had been sitting on the school door since at least 7:15 am.  It sat on the door all day.,41.14969,-73.969397,,,False,Deidamia inscriptum,Lettered Sphinx,143452,1|47120|47158|47157|47213|143454|143452
1556119,2015-05-28T06:12:41Z,mcgovernm97,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926615/medium.jpg,,41.150221,-73.970341,,,False,Acer,maples,47727,47126|211194|47124|47729|58321|47727
1556120,2015-05-28T06:14:17Z,mcgovernm97,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926632/medium.jpg,,41.150189,-73.970347,,,False,Plantago lanceolata,ribwort plantain,53178,47126|211194|47124|48151|50638|50636|53178
1556121,2015-05-28T06:13:47Z,mcgovernm97,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926631/medium.jpg,,41.150182,-73.970414,,,False,Poa pratensis,Kentucky bluegrass,60307,47126|211194|47163|47162|47434|52809|60307
1556122,2015-05-28T06:13:07Z,mcgovernm97,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926612/medium.jpg,,41.150218,-73.970363,,,False,Magnoliopsida,dicots,47124,47126|211194|47124
1556146,2015-05-28T06:16:24Z,mcgovernm97,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926652/medium.jpg,,41.150047,-73.970054,,,False,Oxalis,woodsorrels,47758,47126|211194|47124|70233|47759|47758
1556147,2015-05-28T06:16:43Z,mcgovernm97,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926651/medium.jpg,,41.150055,-73.97003,,,False,Homo sapiens,Human,43584,1|2|40151|43367|43575|43583|43584
1556158,2015-05-28T06:12:17Z,erics5,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926664/medium.jpg,,41.150218,-73.97062,,,False,Poales,"grasses, sedges, cattails, and allies",47162,47126|211194|47163|47162
1556159,2015-05-28T06:10:16Z,erics5,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926685/medium.jpg,,41.15002,-73.97031,,,False,Rhododendron,rhododendrons and azaleas,49487,47126|211194|47124|47181|133387|49487
1556160,2015-05-28T06:11:52Z,erics5,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1926680/medium.jpg,,41.15014,-73.970307,,,False,Hosta,hostas,82095,47126|211194|47163|47218|47599|82095
