id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count
83431868,47124,dicots,Magnoliopsida,maxkahann,https://inaturalist-open-data.s3.amazonaws.com/photos/137023157/medium.jpg,class,211194,47126|211194|47124,45,498
81601360,47602,common dandelion,Taraxacum officinale,carolinem3,https://static.inaturalist.org/photos/133851271/medium.jpg,species,47603,47126|211194|47124|47605|47604|47603|47602,36,36
81654374,55745,white clover,Trifolium repens,r105,https://inaturalist-open-data.s3.amazonaws.com/photos/133943503/medium.jpg,species,51876,47126|211194|47124|47123|47122|51876|55745,34,34
81599236,12727,American Robin,Turdus migratorius,carolinem3,https://static.inaturalist.org/photos/133847878/medium.jpg,species,12705,1|2|3|7251|15977|12705|12727,31,31
83683271,47126,plants,Plantae,leo25097,https://inaturalist-open-data.s3.amazonaws.com/photos/137461048/medium.jpeg,kingdom,48460,47126,31,666
81578151,78882,multiflora rose,Rosa multiflora,nickyg09,https://static.inaturalist.org/photos/133818201/medium.jpg,species,53438,47126|211194|47124|47132|47148|53438|78882,30,30
81624177,42223,White-tailed Deer,Odocoileus virginianus,dylan_v,https://static.inaturalist.org/photos/133924795/medium.jpg,species,42219,1|2|40151|152870|42158|42219|42223,21,21
81598234,46017,Eastern Gray Squirrel,Sciurus carolinensis,carolinem3,https://static.inaturalist.org/photos/133846419/medium.jpg,species,45994,1|2|40151|43698|45933|45994|46017,17,17
81640646,47125,flowering plants,Angiospermae,juliaiscience,https://inaturalist-open-data.s3.amazonaws.com/photos/133918412/medium.jpg,subphylum,211194,47126|211194|47125,15,15
81577670,46217,Eastern Chipmunk,Tamias striatus,nickyg09,https://static.inaturalist.org/photos/133817702/medium.jpg,species,520586,1|2|40151|43698|45933|520586|46217,15,15
81587926,47603,dandelions,Taraxacum,jaymeme,https://inaturalist-open-data.s3.amazonaws.com/photos/133833549/medium.jpeg,genus,47604,47126|211194|47124|47605|47604|47603,14,52
83406601,47434,grasses,Poaceae,kwadwo,https://inaturalist-open-data.s3.amazonaws.com/photos/136978105/medium.jpg,family,47162,47126|211194|47163|47162|47434,13,45
81619450,51875,red clover,Trifolium pratense,fweber3,https://inaturalist-open-data.s3.amazonaws.com/photos/133880178/medium.jpg,species,51876,47126|211194|47124|47123|47122|51876|51875,12,12
81463000,7089,Canada Goose,Branta canadensis,veronikad,https://inaturalist-open-data.s3.amazonaws.com/photos/133621530/medium.jpg,species,7086,1|2|3|6888|6912|7086|7089,12,12
81462752,6930,Mallard,Anas platyrhynchos,veronikad,https://inaturalist-open-data.s3.amazonaws.com/photos/133621164/medium.jpg,species,6922,1|2|3|6888|6912|6922|6930,11,12
81587589,211194,vascular plants,Tracheophyta,jaymeme,https://inaturalist-open-data.s3.amazonaws.com/photos/133836134/medium.jpeg,phylum,47126,47126|211194,11,618
81560730,49487,rhododendrons and azaleas,Rhododendron,brooke_mcastocker,https://static.inaturalist.org/photos/133792475/medium.jpg,genus,133387,47126|211194|47124|47181|133387|49487,11,16
81460947,48230,buttercups,Ranunculus,ilyyssa,https://inaturalist-open-data.s3.amazonaws.com/photos/133618013/medium.jpg,genus,48231,47126|211194|47124|48232|48231|48230,9,15
81620011,46095,Groundhog,Marmota monax,fweber3,https://inaturalist-open-data.s3.amazonaws.com/photos/133881398/medium.jpg,species,46078,1|2|40151|43698|45933|46078|46095,9,9
48272837,55830,ground-ivy,Glechoma hederacea,the1mayaroy,https://inaturalist-open-data.s3.amazonaws.com/photos/76622191/medium.jpg,species,55831,47126|211194|47124|48151|48623|55831|55830,9,9
81481063,53438,roses,Rosa,aryan_patel,https://static.inaturalist.org/photos/133652020/medium.jpeg,genus,47148,47126|211194|47124|47132|47148|53438,9,40
81514840,51876,clovers,Trifolium,kimt315,https://inaturalist-open-data.s3.amazonaws.com/photos/133713208/medium.jpg,genus,47122,47126|211194|47124|47123|47122|51876,8,54
81561783,47170,Fungi Including Lichens,Fungi,emilyd5,https://inaturalist-open-data.s3.amazonaws.com/photos/133794078/medium.jpg,kingdom,48460,47170,8,38
81654424,311249,mosses,Bryophyta,r105,https://inaturalist-open-data.s3.amazonaws.com/photos/133943604/medium.jpg,phylum,47126,47126|311249,8,15
83431862,53178,ribwort plantain,Plantago lanceolata,maxkahann,https://inaturalist-open-data.s3.amazonaws.com/photos/137023130/medium.jpg,species,50636,47126|211194|47124|48151|50638|50636|53178,8,8
81654626,47336,Ants,Formicidae,r105,https://inaturalist-open-data.s3.amazonaws.com/photos/133943868/medium.jpg,family,47201,1|47120|47158|47201|47336,7,35
