user_id,user_login,observation_ids,observation_count
97128,lgertzer,1551812;1561197;1561367;3298989;3306839;3307879;3313435;3315359;6445576;6445589;6446477;6446481;6456770;6456772;13118002;13118022;13148007;13180818;81192986;81194701;81549972;81550090;81550101;81556195,24
495166,jillt,6431980;6431987;6432008;6432015;6432025;6432031;6432053;6432057;6432072;6432081;6432101;6432110;6432116;6432131;6432203;6432207;6432214;6432231;6432240;6432270,20
3078996,alanabettello,47668589;47794025;48148617;48202866;48202963;48203040;48203359;48203509;48203616;48203655;48203697;48203717;48203812;48203964;48204129;48204697;48204836,17
3066330,anish11,47903473;47904100;47904727;47904992;47905197;47905453;47905689;47906788;47907083;47907216;47907541;47907798;47908220;47908637;47908874;47909154,16
3827088,alenasvara,64808839;64811969;64811992;64812073;64812099;64812128;64812192;64812286;64812327;81550236;81553999;81558446;81558838;81558868,14
3828055,nikkirosenblatt,64972778;64972830;64972924;64972992;64973023;64973079;64973128;64973208;64973889;64974006;64974367;64974414;64974539,13
1006493,neil34,13121006;13121038;13121108;13121118;13121128;13121130;13121136;13121150;13121167;13186696;13186959,11
495171,zackk1,6431974;6432004;6432032;6432063;6432091;6432117;6432130;6432140;6432145;6432291;6456618,11
3073669,sarahb2449,48142281;48142683;48143903;48144193;48145106;48153694;48154700;48155456;48236598;48240117;48240162,11
105853,erics5,1556158;1556159;1556160;1556161;1556162;1556163;1556164;1556165;1556166;1556185;1556202,11
4513967,kwadwo,83406600;83406601;83406602;83406603;83406604;83406605;83406608;83406612;83406613;83406615,10
1006486,sienad1,13117634;13118645;13118673;13118679;13118690;13118697;13118745;13118749;13118763;13118772,10
3073123,sanjana9,48120877;48134028;48134145;48135330;48135716;48135850;48136219;48137253;48147031;48395703,10
247344,alexadrapkin,3298303;3298305;3298308;3298310;3298312;3298313;3298318;3298363;3298397;3298399,10
1800696,anisha1,26056589;26056606;26056641;26056687;26056718;26056732;26056803;26056818;26056873;26056946,10
3075489,jdcazes,47887006;47887008;47899053;47899056;47899057;48305432;48305433;48305434;48305440,9
3073759,jasmine_lee,48139326;48139465;48140115;48140191;48140449;48142370;48143398;48143617;48144419,9
495154,gayatrip,6432644;6432736;6432760;6432775;6432785;6445400;6445409;6445416;6456571,9
495178,yanah,6445301;6445314;6445338;6445342;6445349;6445369;6445573;6445574,8
3068836,miaperezz,47883379;47883481;47883667;47883915;47884281;47884399;47884807;48055399,8
495156,harrisongarcia,6445548;6445560;6445575;6445600;6456635;6456655;6457190;6457231,8
249041,navneethp2,3314198;3314381;3318705;3318710;3318728;3318734;3318893,7
