id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count
99955539,117302,Portuguese Man o' War,Physalia physalis,arnim,https://inaturalist-open-data.s3.amazonaws.com/photos/166747838/medium.jpeg,species,117305,1|47534|48921|152823|117304|117305|117302,394,394
99998229,59698,By-the-wind Sailor,Velella velella,natael51,https://inaturalist-open-data.s3.amazonaws.com/photos/166831922/medium.jpeg,species,59699,1|47534|48921|48922|59692|59699|59698,321,321
99955344,254081,Dwarf Violet Snail,Janthina exigua,arnim,https://inaturalist-open-data.s3.amazonaws.com/photos/166747457/medium.jpeg,species,121656,1|47115|47114|122558|121656|254081,101,101
92086359,606078,the beachcomber,Eurynebria complanata,charcoscompanhia,https://inaturalist-open-data.s3.amazonaws.com/photos/152416546/medium.jpeg,species,606079,1|47120|47158|47208|49567|606079|606078,86,86
99853593,59683,Blue Button,Porpita porpita,samarah2,https://inaturalist-open-data.s3.amazonaws.com/photos/166550483/medium.jpeg,species,59679,1|47534|48921|48922|59692|59679|59683,82,82
9714235,295349,Gulfweed Crab,Planes minutus,lisa_bennett,https://inaturalist-open-data.s3.amazonaws.com/photos/13285717/medium.jpeg,species,85040,1|47120|47187|47186|47190|85040|295349,58,58
99756603,85107,Ram's Horn Squid,Spirula spirula,sustainablesian,https://inaturalist-open-data.s3.amazonaws.com/photos/166366802/medium.jpg,species,85110,1|47115|47459|85108|85109|85110|85107,47,47
99338121,121654,Violet Sea Snail,Janthina janthina,mary-hunter,https://inaturalist-open-data.s3.amazonaws.com/photos/165574571/medium.jpg,species,121656,1|47115|47114|122558|121656|121654,45,45
99338114,69949,Pelagic Gooseneck Barnacle,Lepas anatifera,mary-hunter,https://inaturalist-open-data.s3.amazonaws.com/photos/165574157/medium.jpg,species,48780,1|47120|1091452|1066703|48779|48780|69949,41,41
99584188,154711,Lion's Mane Jellies,Cyanea,cmwb,https://inaturalist-open-data.s3.amazonaws.com/photos/166038188/medium.jpeg,genus,154710,1|47534|48332|48331|154710|154711,41,49
99952895,410649,Spotted Jelly,Desmonema gaudichaudi,joshwedlake,https://static.inaturalist.org/photos/166742825/medium.jpg,species,379633,1|47534|48332|48331|154710|379633|410649,41,41
98807844,256089,Mauve Stinger,Pelagia noctiluca,gos3amr5,https://inaturalist-open-data.s3.amazonaws.com/photos/164591475/medium.jpeg,species,247213,1|47534|48332|48331|48482|247213|256089,39,39
95161437,307026,Shore Earwig,Labidura riparia,charcoscompanhia,https://inaturalist-open-data.s3.amazonaws.com/photos/157949172/medium.jpeg,species,89284,1|47120|47158|47793|85850|89284|307026,37,37
95781036,486999,Swarming Squat Lobster,Munida gregaria,kwright,https://static.inaturalist.org/photos/159048349/medium.png,species,248332,1|47120|47187|47186|494535|248332|486999,37,37
99184284,462187,Buoy Barnacle,Dosima fascicularis,willjacobsmith,https://inaturalist-open-data.s3.amazonaws.com/photos/165290217/medium.jpg,species,462188,1|47120|1091452|1066703|48779|462188|462187,31,31
99584238,48329,Moon Jellies,Aurelia,cmwb,https://inaturalist-open-data.s3.amazonaws.com/photos/166038311/medium.jpeg,genus,48330,1|47534|48332|48331|48330|48329,30,58
94150770,51108,,Pyrosoma atlanticum,elizabethbettenhausen,https://inaturalist-open-data.s3.amazonaws.com/photos/156147141/medium.jpeg,species,51109,1|2|51104|51105|51103|51109|51108,27,27
98599153,191502,Crystal Jellies,Aequorea,oscar_dove,https://static.inaturalist.org/photos/164196504/medium.jpeg,genus,171652,1|47534|48921|48925|171652|191502,25,45
94790362,50498,Sea Swallow,Glaucus atlanticus,mjackerman,https://inaturalist-open-data.s3.amazonaws.com/photos/157284907/medium.jpg,species,50499,1|47115|47114|47113|48756|50499|50498,23,23
93556138,151429,European Common Cuttlefish,Sepia officinalis,charcoscompanhia,https://inaturalist-open-data.s3.amazonaws.com/photos/155079059/medium.jpeg,species,119418,1|47115|47459|67961|67960|119418|151429,23,23
99177742,48780,Goose Barnacles,Lepas,hiddenhammockyoutube,https://static.inaturalist.org/photos/165277454/medium.jpg,genus,48779,1|47120|1091452|1066703|48779|48780,22,87
9688750,130178,Sargassum,Sargassum,lucyinthesea,https://inaturalist-open-data.s3.amazonaws.com/photos/13247339/medium.jpeg,genus,126125,48222|48221|48220|48219|126125|130178,22,34
85987553,48752,Lottia Limpets,Lottia,casa_de_chaos,https://inaturalist-open-data.s3.amazonaws.com/photos/141576123/medium.jpg,genus,48751,1|47115|47114|48751|48752,22,32
94985355,121639,True Crabs,Brachyura,luca_dt,https://inaturalist-open-data.s3.amazonaws.com/photos/157628942/medium.jpeg,infraorder,47186,1|47120|47187|47186|121639,19,19
72511158,861465,,Glaucilla bennettae,raewyna,https://static.inaturalist.org/photos/118235975/medium.jpg,species,861464,1|47115|47114|47113|48756|861464|861465,18,18
97112998,387555,,Chloeia inermis,margotcs,https://inaturalist-open-data.s3.amazonaws.com/photos/161438825/medium.jpeg,species,194941,1|47491|47490|152935|49522|194941|387555,18,18
99016882,130235,Greater Moon Jelly,Aurelia labiata,elizabethbettenhausen,https://inaturalist-open-data.s3.amazonaws.com/photos/164977168/medium.jpeg,species,48329,1|47534|48332|48331|48330|48329|130235,17,17
