user_id,user_login,observation_ids,observation_count
4119945,charcoscompanhia,73601068;76083372;77236901;79740092;79961077;80375842;80456124;81069908;81070850;81072622;81073310;81073744;81073866;81074307;81074875;81075338;81075598;81075733;81076517;81078388;81414140;81414704;81668032;81668133;81668169;81668222;81668511;81668624;81668674;81668718;81668752;81668884;81668929;81668955;81680091;81680173;81680367;81681012;81681087;81681248;81707286;81724651;82803736;82803752;82803796;82803832;82803854;82805059;82805094;82805204;82805213;82805367;82805468;82805726;82806027;82806138;82806184;82806249;82806310;82806331;82806427;82806754;82806906;82806976;82807040;82807657;82807783;82809313;82809355;82809906;82809947;82809988;82979915;82994087;83007048;83007786;83913619;83913888;83914868;84660073;84660111;84660676;84660768;84660846;84660880;84660958;84661281;84661640;84661809;84662071;84662871;84663144;84663246;84663303;84663581;84664690;84664899;84664918;84664984;84665014;84665058;84665483;84665512;84665841;84666159;84666597;84668387;84668513;84669151;85132363;85247852;85248394;85248456;85248469;85248497;85249362;85249678;85249775;85249877;85250401;85250721;85251527;85251763;85252356;85252719;85252859;85252876;85253084;85254529;85254592;85254666;85255613;85256398;85430827;85430988;85431024;85431120;85431292;85431586;85431635;85431662;85431740;85431814;85431892;85431978;85432127;85433020;85433141;85433303;85434868;85434901;86439754;87009352;88239203;88245126;88246064;88257914;88259083;88259804;88268904;88269821;88269823;88269824;88269827;88929651;88930974;88930975;88931511;88931711;88933051;89038589;89038708;89109379;89109519;89452217;89452626;89452751;89452896;89453140;89453334;89453636;89453774;89453852;89462076;89462368;89462517;89474932;89474971;89613826;89614294;89615526;89616187;89616352;89616567;89616599;89616814;89618534;89618556;89618597;89618688;89618778;89618875;89619009;89619460;89619674;89619740;89619945;89901197;90237845;90238727;90238777;90238838;90238877;91615780;92079643;92079956;92080138;92080179;92081494;92081799;92083509;92084755;92085216;92085367;92085424;92085615;92085672;92085714;92085758;92085767;92086359;92602680;92602846;92603320;92604143;92649951;93389937;93391358;93391817;93556138;93556226;93556318;94421547;95161437;100383473;100383707;100383816;100383868;100384023;100384233;100992284;100992603;100992629;100992775;100993642;100993736;100993811;100993983;100994240;100994537;100994649;100994663;100994694;100994716;100994736;100994749;100994806;100994875;100994900;100994998;100995120;100995151;102466980;102467155;102467290;102467350;102467457;102467479;102467664;102467816;102468548;102468849;102468872;102470543;102471286;102471335;102471855;102525733;102525872;102525924;102525951;102526191;102526212;102526257;102526355;102526498;102526953;102527449;102527525;102527767;102527914;102527970;102528078;102528355;102596532;102713464;102713718;102713798;102713945;102714066;102714146;102714250;102714363;102714467;102714500;102714809;102714860;102714971;102715088;102715111;102715267;102715302;102715687;102715745;102715892;102716034;102716109;102716345;102716384;102716560;102716569;102716644;102716801;102717044;102717190;102717602;102717708;102717752;102717847;102717890;102717931;102718012;102718063;102718129;102718271;102718372;102718475;102718540;102721364;102760427;102760437;102871761;102872006;102872766;102873145;102873256;102873393;102873419;102873430;102873463;102873493;102873539;102873636;102873663;102873687;102873715;102873741;102873761;102873879;102874059;102874095;102874166;102874196;102874235;102874997;102875387;102875484;102876145;102876554;102876670;102876775;102876871;102876935;102877076;102877145;102877189;102885146;102930080;102930143;102930174;102930217;102930319;102930535;102930985;102931557;102934756;102935201;102935278;102935395;102935477;102935877;102939996;102940016;102940026;102940040;102940103;102940125;102940142;102940151;102940172;102940218;102940417;102940434;102940441;102941383;102985093;102985903;102986097;102986104;102986126;103014108;103038687;103198498;103244546;103245424;103245466;103245822;103247081;103247197;103261405;103962029;103964089;103965587;104113721;104458453;104458590;104460807;104460849,438
4107224,dennisthediver,71353426;71353427;71353430;71354175;71354177;71354178;71354179;71354410;71355568;71355570;71355945;71356777;71357225;71359437;71360662;71361469;71361832;71371167;71371338;71374780;71377335;71498936;71498945;71544296;71544574;71546732;71546733;71546739;71820507;71832448;71888204;71888648;71889254;71892226;71892680;71892692;71893528;71897667;71897986;71898755;72103123;72393703;72393707;72393754;72553784;73188353;73188355;73188356;73188620;73975079;77653118;77659504;78504847;78509491;78512569;78593166;78726684;78732422;78733210;78741990;78742187;79211276;79315903;79318430;79325101;79417137;79539355;79539750;79562057;79562271;79563134;79566207;79650593;79650594;79650596;79650603;79673863;79675888;79687286;79697710;79699095;79701521;79706616;79706618;79752606;79753932;79757099;79757102;79757107;79760772;79764300;79765178;79765183;79765184;79765201;80409459;80913616;80913617;80915000;80915003;80915004;80915008;80922464;80922466;80922474;80922479;80922480;80922484;80922486;80923049;80923053;80941791;81328300;81332140;81332142;81332144;81332162;81332164;81332165;81332200;81333160;81333163;81333164;81337430;81344576;81344582;81345536;81349369;81351632;81352858;81352859;81352860;81352861;81352864;81352867;81352868;81352874;81352876;81352878;81352880;81352881;81352882;81359316;81361771;81363192;81363489;81365352;81365353;81365354;81365356;81365359;81365360;81365361;81365364;81365365;81365369;81588430;81591619;81615362;81764204;81764210;82007334;82009220;82009222;82013275;82013276;82013278;82013279;82019090;83070241;83325957;87285869;90206258;91876414;92842342;92842344;92842363;92842374;94020915;94156467;96700100;96955316;98305714;98718625;98718626;98718627;98718630;98718631;98718633;98718641;98718651;98718673;99838045;99838046;100499641;100881034;102717858;103199670;103199696;103201165;103201166;103201169;103201171;103201172;103201174;103201175;103201176;103205425;103205572;103480912;103698514;105271916;105271917;105271918;105271920;105271921;105271922;105276607;105276612;105276613;105276624;105276625;105276627;105276632;105276633;105276639,226
34722,ibrake4botany,74296699;74377989;77187534;77189745;77743333;77743385;77752209;78057863;78058044;78790905;78790976;78817049;78817837;78817978;78818034;78854773;78878589;78879436;78879726;78879920;78880252;78880356;78880457;78881271;78881488;78881767;78881881;78881970;78946399;78946494;78948803;80745556;80745785;80745841;80758343;80758640;80758880;80759180;80759525;80759606;80760324;80760455;80760515;80760822;80761039;80761130;80761280;80761410;80761525;80761634;80762205;80762265;80762548;80762663;80763026;80763164;80763310;80763472;80763716;80763904;80763990;80764435;80764551;80764680;80765181;80765357;80765485;80766025;80766158;80891804;81000710;81142892;81142923;81143092;81143115;81143234;81143248;81143275;81143372;81143453;81143593;81143653;81143731;81143924;81143960;81144088;81144114;81178183;81178232;81178330;81268195;81268244;81268302;81268333;81268380;81268496;81268588;81269025;81269133;81269214;81269248;81303362;81303445;81303617;81303844;81303914;81303980;81304318;81304441;81304670;81304795;84712967;84769016;84780971;84789102;84789104;84789105;84789108;84789109;84789111;84789114;84789118;84789123;84789126;84789128;84789132;84789137;84789142;84789144;84789147;84789150;84789152;84789153;84789154;84789158;84789159;84789160;84789162;84789163;84789164;84789165;88413773;88420642;88420834;88583678;88583917;88585913;88586303;88586479;88586563;88586648;88586677;88586888;88586958;88587465;88587530;88587637;88587754;88587834;88587939;88587986;88588090;88588207;88588373;88588437;88588517;88588696;88588865;88588898;88588955;88588999;88589080;88589351;88854357;88854466;88854557;88854710;88854805;88854904;88854998;88855065;88855135;88855209;88855323;88931903;88931961;88932051;88932119;88932158;90141134;90141186;90338703;90338721;90338790;90338928;90339533;90339769;90339873;90339962;90340252;90340310;90340618;90340648;90340698;90340769;90340884;90340956;90340987;90341129;90946246;90946285;90988635;91476092;91476660;91476788;92397476;92397661;92537510;92537850;92537885;92538001;92538018;92538941;92539008,224
1802807,casa_de_chaos,37637694;37637737;37637846;37700901;37700914;37700923;37700940;37700950;37700974;37700981;37700993;37701026;37701149;37701191;50916698;50916971;50917082;50917375;50917441;50917553;50917763;50918019;50918106;50918257;50918338;50918445;50918564;50918815;50919012;50919104;50919259;50919619;50919839;54279333;54280593;54281569;54282537;54282574;54283259;54283577;54283689;54798191;54798414;54798626;54799577;54799799;54799902;54800198;54800311;54800612;54800799;54800929;54801543;54801735;54801804;54801994;54802588;54803120;55005145;55005555;55005649;55005923;55006104;55006387;55006524;55006601;55006687;55006744;55006916;55006986;55007012;55007041;55007097;55007155;55007305;55007370;55007569;55007645;55007679;55386614;55387645;55390547;55390649;55393173;55408248;55440470;55440576;55440634;55440824;55636780;55637647;66572006;67342069;67342693;67342737;67342857;67342877;67343020;67447696;67447824;67448124;67448248;67448312;67448356;67448599;67448644;67681845;67682000;67682170;67682260;67682296;67682332;67682365;67682466;67682593;67682838;67682875;67683173;67683382;67683563;67683685;67684091;67684287;67684391;67691629;67691675;67691743;67691826;67691886;67691969;67692034;67692615;75148976;75149125;79246819;79581432;79582037;79582142;79582547;81920901;84270927;85006900;85008828;85009293;85160183;85160665;85160931;85233169;85300267;85302781;85302840;85302865;85302942;85303119;85303187;85303384;85303517;85303633;85303728;85303751;85303813;85303873;85303996;85304052;85304349;85304500;85306356;85306437;85306519;85980449;85980534;85980663;85980793;85980966;85981139;85981313;85981924;85981933;85982005;85982498;85983205;85983342;85983399;85983449;85983575;85983770;85983852;85983890;85983934;85983977;85984159;85984201;85984300;85984472;85984860;85985252;85985406;85985637;85985686;85985772;85986033;85986486;85986786;85986833;85987090;85987138;85987198;85987281;85987390;85987435;85987553;85987681;85987810;85987956;85988184;85988912;87648524;87650675;87650938;88711251,220
653415,insequentways,37285901;69757421;69759286;75014216;75025412;75141560;75141982;79898207;80067401;80213706;80213769;80218663;80219892;80220118;80456875;80456949;80465266;80466019;80470109;80470335;80470809;81132383;81137768;81150011;81381696;81399054;81399223;81402438;81500985;81501195;94091596;100049563;100221290;100221439;100222939;100295325;100300615;100303264;100372301;100373233;100377953;100386017;100444120;100453070;100453267;100456873;100461364;100462720;100568947;100654758;100658565;100665072;100749766;100761641;100823716;100828755;100842632;100884303;100901070;100909656;100917194;100980674;100988555;101066428;101067146;101078062;101080123;101080663;101311272;101315975;101316469;101316912;101363699;101364912;101370063;101372483;101373881;101376237;101387098;101388969;101389096;101389189;101389436;101390400;101439760;101439861;101449153;101455437;101498592;101502663;101518046;101788313;101811071;101814664;101817363;101817862;101858783;101865177;101867579;101917274;101998524;101998578;102065528;102125473;102225290;102228315;102268197;102268965;102283607;102288465;102289866;102347573;102347614;102347679;102401995;102402650;102441848;102441958;102442764;102448207;102451245;102451470;102457269;102457709;102459093;102459894;102498387;102509760;102521381;102523183;102524051;102524538;102563164;102647756;102651293;102688310;102694887;102758114;102758276;102797657;102797778;102898841;102915047;102915219;103179750;103179751;103179752;103179957;103179958;103179959;103408105;103408199;103664438;103667187;103673190;103740271;103740303;103740497;103740638;103792480;103792618;103793033;103851195;103862363;103867752;103918153;103939393;103939449;103991630;104010648;104071692;104086482;104088875;104089300;104089949;104089950;104138130;104319792;104319794;104387651;104387652;104388363;104508784;104508879;104509986;104624022;104624024;104629748;104631149;104692208;104693547;104753669;104802173;104857651;104897240;104899173;104900912;104905603;104953420;105190204;105193019;105196845;105198884;105200686;105235918,205
59241,arnim,1151868;8493594;8501397;8517234;8951863;18036949;18085561;35000120;35089361;35345824;35512939;35731938;36427103;36656553;36793090;36906654;36993318;37121775;37286805;38658806;38659001;43850681;43851346;45001573;45003604;60490476;60490866;60990294;60992145;61282068;61282182;61483259;61534001;61534191;62176606;63294108;63461615;63462739;64122642;64843599;65176409;65627257;66455892;66497415;66497926;66498238;66752052;66816006;66866015;66952542;68317153;68908575;69758520;70667680;74718437;94685626;94797239;96661145;97226132;97226213;98585648;98585760;98679646;98679803;98679867;98679915;98680034;98680161;98680467;98680599;99433559;99433691;99433779;99433848;99433946;99434003;99434096;99434185;99434266;99434489;99434965;99435450;99523385;99523655;99523743;99523829;99523929;99523996;99524068;99608561;99608607;99608667;99955241;99955284;99955344;99955394;99955539;100047173;100047241;100754246;100754416;101177296;101177354;101177424;101309482;101310862;101310897;101311008;101747555;101747719;101747756;102154000;102154080;102154200;102154328;102154401;102154489;102982979;102983367;103352660;103931939;104154403;105146360,123
220795,neontetraploid,4069320;4074766;4104946;5055728;5414370;5414374;5434426;5434427;6711142;6711143;6711144;6711145;6711147;9180579;9180580;9357526;9357528;9357702;10041620;11443431;11443443;13166267;13166268;13166269;13166270;13166278;13166280;13166282;13166301;13836065;13836072;13836074;13836083;13836084;13837855;13837856;13838040;13838042;13875628;13875633;13875634;13875638;13875653;13887895;13887897;13887898;13887901;13887931;13888480;13888481;13888483;13888486;13888487;13888490;13888491;13890338;13921678;13922130;13927857;13929488;13948668;13948670;13973502;13973720;13973723;13974090;13974091;13974092;13984244;13984248;13989308;13989313;13989315;13989323;14239558;14239814;16379932;38077452;38078894;38078947;38078976;38078987;38078990;38078991;38078998;38079001;38079008;38079011;38079028;38079036;38079046;38079059;38079070;38079093;38079102;71279937;71279939;71279940;87348772;87348774;87351659;87478516;87481837;92545145,104
4499286,purplehikingboots,80938401;80939978;80940378;80941308;80941480;80941857;80941894;80942461;80942689;80943690;80944374;80944730;81001759;81001762;81001766;81001769;81001777;81002133;81004515;81005182;81005660;81005835;81006288;81267852;81268330;81269415;81269982;81270273;87339484;91447187;91448117;91448138;91448160;91448175;91448185;91448200;91448212;91448233;91448251;91448296;91448315;91448333;91448354;91448364;91499080;91499085;91499090;91499118;91501713;91814651;91814952;91814963;91815000;91815029;91815039;91815055;91815892;91816836;91826053;91826128;91826789;91827039;91827955;91828205;91828412;91828803;91829040;91829882;91830441;91830713,70
3978426,thelosthuman,102522008;102522519;102522538;102522570;102586767;102586791;102586816;102586862;102586891;102586935;102586942;102586961;102587084;102587125;102587488;102587536;102587567;102587600;102587636;102587796;102587903;102640321;102705166;102913071;103742618;103742629;103742688;103742712;103742743;103742769;103742801;103742813;103742820;103742838;103742846;103742862;103990831;104068754;104304791;104304830;104305061;104320566;104320622;104320659;104320761;104320769;104542402;104542446;104542458;104542502;104542509;104542532;104542576;104542586;104542734;104542942;104542994;104604935;104605005;104728572;104728602;104728674;104728693;104728722;105199019,65
756714,lucyinthesea,9687070;9688750;9761128;9808423;9808431;9808433;9808570;9856758;9856770;9856856;9904097;10002668;10030451;10089028;10136612;10609589;10627737;10992148;10993557;11386685;11828357;12023726;13723856;16652901;17232440;18046785;18506494;24497607;25246394;25552925;25714253;26660962;27002458;34853826;36595994;38105114;38167627;38278437;38343770;41272337;41888043;45334055;45627730;45628216;45657277;45658625;55115596;62686977;63298519;67951935;67952227;70703842;74025885;74972576;81673281;81673992;94277297;99932172;100723697;104076121,60
