subject_taxon_id,target_scientific_name,target_common_name,target_taxon_id,interaction
143452,Parthenocissus,,50280,eats
143452,Vitis,grapevines,60773,eats
143452,Ampelopsis brevipedunculata,porcelain berry,457553,eats
143452,Vitis vinifera,wine grape,79519,eats
143452,Parthenocissus quinquefolia,Virginia creeper,50278,eats
143452,Myotis lucifugus,Little Brown Bat,40346,eatenBy
143452,Corynorhinus townsendii,Townsend's Big-eared Bat,74205,eatenBy
143452,Abronia macrocarpa,largefruit sand verbena,157825,pollinates
143452,Myotis lucifugus,Little Brown Bat,40346,preyedUponBy
143452,Corynorhinus townsendii,Townsend's Big-eared Bat,74205,preyedUponBy
47727,Acer cappadocicum cappadocicum,Cappadocian Maple,399309,eats
47727,Caloptilia monticola,,926582,eatenBy
47727,Platycheirus ambiguus ,Platycheirus ambiguus group,1155994,pollinatedBy
47727,Rabocerus gabrieli,,1007100,preyedUponBy
47727,Dendrophagus crenatus,,876597,preyedUponBy
47727,Pediacus dermestoides,,909252,preyedUponBy
47727,Salpingus ruficollis,,494609,preyedUponBy
47727,Rhizophagus cribratus,,1015720,preyedUponBy
53178,Cantharis lateralis,,360296,eatenBy
53178,Amara consularis,,910005,eatenBy
53178,Syrphus,Common Flower Flies,52489,pollinatedBy
53178,Meliscaeva,,324638,pollinatedBy
53178,Wind,bindweed family,52345,pollinatedBy
53178,Apis,Honey Bees,47220,pollinatedBy
53178,Cantharis lateralis,,360296,preyedUponBy
53178,Amara consularis,,910005,preyedUponBy
60307,Puccinia coronata,Puccinia ser. Coronata,1240669,eats
60307,Uromyces dactylidis,celandine clustercup rust,384675,eats
60307,Crambus,,82269,eatenBy
60307,Parapediasia teterrellus,Bluegrass Webworm Moth,553984,eatenBy
60307,Erebia epistygne,Spring Ringlet,100283,eatenBy
60307,Orgyia leucostigma,White-marked Tussock Moth,81665,eatenBy
60307,Amblyscirtes vialis,Common Roadside-Skipper,58518,eatenBy
60307,Polites sabuleti,Sandhill Skipper,59192,eatenBy
60307,Puccinia coronata,Puccinia ser. Coronata,1240669,eatenBy
60307,Phorbia,,985118,pollinatedBy
60307,Euphoria fulgida,Emerald Euphoria,129219,pollinatedBy
60307,Volucella,,52481,pollinatedBy
60307,Sphex,,48739,pollinatedBy
60307,Phor,asphodels,71400,pollinatedBy
60307,Diptera,Flies,47822,pollinatedBy
60307,Melanostoma scalare,Ladder-backed Hover Fly,70405,pollinatedBy
60307,Amara consularis,,910005,preyedUponBy
60307,Cantharis lateralis,,360296,preyedUponBy
60307,Aeolothrips intermedius,,987111,preyedUponBy
60307,Pseudophonus rufipes,Strawberry Seed Beetle,131099,preyedUponBy
60307,Amara communis,,130439,preyedUponBy
47124,Puccinia libanotidis,moon carrot rust,1006700,eats
47124,Allencyrtus monomorphus,,648648,eatenBy
47124,Marietta taeniola,,674166,eatenBy
47124,Viola pedatifida,Prairie Violet,170255,pollinates
47124,Aesculus glabra,Ohio buckeye,67790,pollinates
47124,Chamaecrista fasciculata,partridge pea,127907,pollinates
47124,Pycnanthemum pilosum,hairy mountainmint,153907,pollinates
47124,Zea mays,Maize,48448,pollinates
47124,Datura,devil's trumpets,48943,pollinates
47124,Galium boreale,Northern Bedstraw,77188,pollinates
47124,Apocynum androsaemifolium,spreading dogbane,47359,pollinates
47124,Monarda fistulosa,wild bergamot,85320,pollinates
47124,Oenothera fruticosa,Narrow-leaved Sundrops,129556,pollinates
47124,Polytaenia nuttallii,Prairie Parsley,156540,pollinates
47124,Verbena hastata,blue vervain,60251,pollinates
47124,Asclepias verticillata,whorled milkweed,125379,pollinates
47124,Viola sagittata,arrowleaf violet,170259,pollinates
47124,Phlox pilosa,prairie phlox,127020,pollinates
47124,Asparagus officinalis,wild asparagus,60265,pollinates
47124,Glechoma hederacea,ground-ivy,55830,pollinates
47124,Asclepias tuberosa,butterfly milkweed,47912,pollinates
47124,Prunus serotina,black cherry,54834,pollinates
47124,Taenidia integerrima,yellow pimpernel,130364,pollinates
47124,Fragaria virginiana,Virginia strawberry,77155,pollinates
47124,Melilotus albus,White Sweetclover,58907,pollinates
47124,Prunella vulgaris,common selfheal,52764,pollinates
47124,Portulaca oleracea,Common Purslane,58991,pollinates
47124,Potentilla,cinquefoils,53186,pollinates
47124,Populus tremuloides,trembling aspen,54840,pollinates
47124,Taraxacum officinale,common dandelion,47602,pollinates
47124,Nelumbo lutea,American lotus,84160,pollinates
47124,Nepeta cataria,Catnip,48622,pollinates
47124,Solidago canadensis,Canada goldenrod,67808,pollinates
47124,Poecilohetaerus,,377755,pollinatedBy
47124,Incurviseta,,896406,pollinatedBy
47124,Lasioglossum,,57678,pollinatedBy
47124,Musca vetustissima,,338075,pollinatedBy
47124,Dilophus,,247434,pollinatedBy
47124,Abronia maritima,red sand-verbena,75244,preysOn
47124,Ursus americanus,American Black Bear,41638,preyedUponBy
47758,Puccinia oxalidis,Oxalis rust,84767,eats
47758,Pseudozizeeria maha,Pale Grass Blue,145642,eatenBy
47758,Ceratina stuckenbergi,,572614,pollinatedBy
43584,Actinopterygii,Ray-finned Fishes,47178,eats
43584,Morone saxatilis,Striped Bass,51392,eats
43584,Pomatomus saltatrix,Bluefish,50984,eats
43584,Bivalvia,Bivalves,47584,eats
43584,Populus,"poplars, cottonwoods, and aspens",47566,eats
43584,Leporidae,Hares and Rabbits,43095,eats
43584,Arecaceae,palms,48867,eats
43584,Galliformes,Landfowl,573,eats
43584,Phasianidae,"Pheasants, Grouse, and Allies",574,eats
43584,Anatidae,"Ducks, Geese, and Swans",6912,eats
43584,Helianthus,sunflowers,56955,eats
43584,Mustelinae,Weasels,526558,eats
43584,Bonasa umbellus,Ruffed Grouse,890,eats
43584,Mustelus canis,Dusky Smooth-hound,49961,eats
43584,Didelphis virginiana,Virginia Opossum,42652,eats
43584,Odocoileus virginianus,White-tailed Deer,42223,eats
43584,Vulpes vulpes,Red Fox,42069,eats
43584,Castor canadensis,American Beaver,43794,eats
43584,Sylvilagus floridanus,Eastern Cottontail,43111,eats
43584,Cyprinus carpio,European Carp,53911,eats
43584,Branta canadensis,Canada Goose,7089,eats
43584,Ursus americanus,American Black Bear,41638,eats
43584,Bos taurus,Domestic Cattle,74113,eats
43584,Aves,Birds,3,eats
43584,Rubus,brambles,47544,eats
43584,Dillenia,,58226,eats
43584,Littorina,Periwinkles,48919,eats
43584,Anas,"Mallards, Pintails, and Allies",6922,eats
43584,Katharina tunicata,Black Leather Chiton,47632,eats
43584,Oncorhynchus tshawytscha,Chinook Salmon,54191,eats
43584,Oncorhynchus nerka,Sockeye Salmon,69922,eats
43584,Phoca vitulina,Harbor Seal,41708,eats
43584,Vulpes,Typical Foxes,42054,eats
43584,Balanus glandula,Pacific Acorn Barnacle,81610,eats
43584,Mytilus,Black Mussels,62807,eats
43584,Aedes,,62989,eatenBy
43584,Aedes aegypti,Yellow Fever Mosquito,155453,eatenBy
43584,Culex quinquefasciatus,Southern House Mosquito,155309,eatenBy
43584,Culex,,130033,eatenBy
43584,Cimex lectularius,Common Bed Bug,69658,eatenBy
43584,Ixodida,Ticks,51672,eatenBy
43584,Acariformes,Mites,129763,eatenBy
43584,Chilopoda,Centipedes,49556,eatenBy
43584,Stylommatophora,Common Land Snails and Slugs,47485,eatenBy
43584,Amblyomma americanum,Lone Star Tick,83744,eatenBy
43584,Arthropoda,Arthropods,47120,eatenBy
43584,Chrysopilus,,61493,eatenBy
43584,Dermacentor variabilis,American Dog Tick,52155,eatenBy
43584,Diptera,Flies,47822,eatenBy
43584,Drosophila,Small Fruit Flies,67740,eatenBy
43584,Lumbricus terrestris,Common Earthworm,81545,eatenBy
43584,Hymenoptera,"Ants, Bees, Wasps, and Sawflies",47201,eatenBy
43584,Lepidoptera,Butterflies and Moths,47157,eatenBy
43584,Lucilia,Greenbottle Flies,61858,eatenBy
43584,Musca domestica,Housefly,120156,eatenBy
43584,Nematoda,Nematodes,54960,eatenBy
43584,Muscidae,House Flies and Allies,70144,eatenBy
43584,Oligochaeta,Earthworms and allies,333586,eatenBy
43584,Plodia interpunctella,Indian-Meal Moth,124184,eatenBy
43584,Sarcophaga,Common Flesh Flies,120489,eatenBy
43584,Sarcophagidae,Flesh Flies,52910,eatenBy
43584,Siphonaptera,Fleas,83204,eatenBy
43584,Thysanoptera,Thrips,83201,eatenBy
43584,Orius,,203276,eatenBy
43584,Aedes albopictus,Asian Tiger Mosquito,62984,eatenBy
43584,Schizophyllum commune,splitgill mushroom,54573,eatenBy
43584,Pomatomus saltatrix,Bluefish,50984,preysOn
43584,Morone saxatilis,Striped Bass,51392,preysOn
43584,Laridae,"Gulls, Terns, and Skimmers",4342,preysOn
43584,Aix sponsa,Wood Duck,7107,preysOn
43584,Callipepla californica,California Quail,1409,preysOn
43584,Branta canadensis,Canada Goose,7089,preysOn
43584,Puma concolor,Mountain Lion,42007,preysOn
43584,Meleagris gallopavo,Wild Turkey,906,preysOn
43584,Spatula discors,Blue-winged Teal,558433,preysOn
43584,Aedes albopictus,Asian Tiger Mosquito,62984,preyedUponBy
43584,Amblyomma americanum,Lone Star Tick,83744,preyedUponBy
43584,Aedes atlanticus,,751647,preyedUponBy
43584,Aedes triseriatus,Eastern Treehole Mosquito,1112143,preyedUponBy
43584,Haemadipsa zeylanica,brown leech,333281,preyedUponBy
47162,Puccinia dioicae,,501711,eats
47162,Melanargia occitanica,Western marbled white,362065,eatenBy
47162,Hipparchia aristaeus,Southern Grayling,102786,eatenBy
47162,Chazara prieuri,Southern Hermit,85452,eatenBy
47162,Deutzia crenata,,337821,pollinates
47162,Phyllopertha diversa,,472106,pollinatedBy
47162,Euphausiacea,krill,153112,preysOn
47162,Ammodytes hexapterus,Arctic Sand Lance,130238,preysOn
47162,Alosa sapidissima,American shad,49243,preysOn
