id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
82033214,2021-06-07T15:06:03Z,4545418,gardenchris01,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134602097/medium.jpg,,34.2167716906,-118.4714017439,,,False,Nyctaginaceae,four o'clock family,50256,family,47126|211194|47124|47366|50256
82036020,2021-06-07T15:51:28Z,929107,amyeweiss,research,,https://static.inaturalist.org/photos/134606862/medium.jpg,,34.0542195,-118.542695,,,False,Metaltella simoni,South American Toothed Hacklemesh Weaver,224975,species,1|47120|47119|47118|47134|172541|224975
82050488,2021-06-07T14:39:29Z,356695,jklabin,research,,https://static.inaturalist.org/photos/134631915/medium.jpg,,34.1111195,-118.272705,,open,False,Canis latrans,Coyote,42051,species,1|2|40151|41573|42043|42044|42051
82050622,2021-06-07T16:16:44Z,356695,jklabin,research,,https://static.inaturalist.org/photos/134632201/medium.jpg,,34.1337805,-118.2888716667,,open,False,Buteo jamaicensis,Red-tailed Hawk,5212,species,1|2|3|71261|5067|5179|5212
82052930,2021-06-07T16:19:23Z,356695,jklabin,research,,https://static.inaturalist.org/photos/134636232/medium.jpg,,34.1335195,-118.2882833333,,open,False,Buteo jamaicensis,Red-tailed Hawk,5212,species,1|2|3|71261|5067|5179|5212
82053061,2021-06-07T15:25:47Z,356695,jklabin,research,,https://static.inaturalist.org/photos/134636499/medium.jpg,,34.12675,-118.28353,,open,False,Zenaida macroura,Mourning Dove,3454,species,1|2|3|2708|2715|3438|3454
82055281,2021-06-07T14:57:27Z,1803020,jandlp,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134640991/medium.jpg,,34.0445680452,-118.3015966472,,open,False,Mimus polyglottos,Northern Mockingbird,14886,species,1|2|3|7251|59911|14877|14886
82062596,2021-06-07T19:05:40Z,3506043,minecraftnut40,research,,https://static.inaturalist.org/photos/134653130/medium.jpeg,,34.1227493286,-118.408744812,,open,False,Trachemys scripta,Common Slider,39782,species,1|2|26036|39532|39760|39776|39782
82062633,2021-06-07T18:29:53Z,23696,clare_mk,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134653334/medium.jpeg,,34.0793292214,-118.2620050295,obscured,open,True,Melozone crissalis,California Towhee,73044,species,1|2|3|7251|559248|9522|73044
82062830,2021-06-07T19:07:07Z,3506043,minecraftnut40,research,,https://static.inaturalist.org/photos/134653441/medium.jpeg,,34.1227493286,-118.408744812,,open,False,Anas platyrhynchos,Mallard,6930,species,1|2|3|6888|6912|6922|6930
82062892,2021-06-07T19:07:41Z,3506043,minecraftnut40,needs_id,,https://static.inaturalist.org/photos/134653654/medium.jpeg,,34.1227493286,-118.408744812,,open,False,Angiospermae,flowering plants,47125,subphylum,47126|211194|47125
82068750,2021-06-07T19:51:29Z,3240175,heidilydon,research,,https://static.inaturalist.org/photos/134663432/medium.jpg,,34.098744479,-118.2009841998,,,False,Eriogonum fasciculatum,California buckwheat,54999,species,47126|211194|47124|47366|48382|48939|54999
82070400,2021-06-07T15:57:26Z,1186847,nataliequeally,research,,https://static.inaturalist.org/photos/134666509/medium.jpg,,33.963795,-118.45105,,,False,Glebionis coronaria,Garland Daisy,59904,species,47126|211194|47124|47605|47604|59906|59904
82071361,2021-06-07T20:14:32Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134668077/medium.jpg,,34.1188816913,-118.285857523,,,False,Quercus agrifolia,coast live oak,47850,species,47126|211194|47124|47853|47852|47851|47850
