id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
97386721,36204,Western Fence Lizard,Sceloporus occidentalis,loganc516,https://inaturalist-open-data.s3.amazonaws.com/photos/161953734/medium.jpg,species,36141,1|2|26036|26172|36074|36141|36204,342,342,,
94055566,199840,House Finch,Haemorhous mexicanus,marty_and_the_mamas,https://inaturalist-open-data.s3.amazonaws.com/photos/155969678/medium.jpeg,species,199910,1|2|3|7251|9079|199910|199840,146,146,,
94889284,48662,Monarch,Danaus plexippus,belis1,https://static.inaturalist.org/photos/157460721/medium.jpg,species,48663,1|47120|47158|47157|47922|48663|48662,144,144,Invertebrates,Neighborhood Species
91586172,5212,Red-tailed Hawk,Buteo jamaicensis,ki6h,https://static.inaturalist.org/photos/151519687/medium.jpg,species,5179,1|2|3|71261|5067|5179|5212,140,142,Birds,Neighborhood Species
92725078,3454,Mourning Dove,Zenaida macroura,jennbastian,https://static.inaturalist.org/photos/153573166/medium.jpg,species,3438,1|2|3|2708|2715|3438|3454,126,126,,
94270678,47126,plants,Plantae,jts86427,https://inaturalist-open-data.s3.amazonaws.com/photos/156360207/medium.jpg,kingdom,48460,47126,123,4567,,
96531350,5112,Cooper's Hawk,Accipiter cooperii,crayonsss,https://inaturalist-open-data.s3.amazonaws.com/photos/160383510/medium.jpg,species,5085,1|2|3|71261|5067|5085|5112,111,111,,
94252298,47219,Western Honey Bee,Apis mellifera,fcmartin,https://inaturalist-open-data.s3.amazonaws.com/photos/156327037/medium.jpeg,species,47220,1|47120|47158|47201|47221|47220|47219,107,107,,
94251644,64122,laurel sumac,Malosma laurina,fcmartin,https://inaturalist-open-data.s3.amazonaws.com/photos/156325953/medium.jpeg,species,64123,47126|211194|47124|47729|48874|64123|64122,104,104,,
92497657,4956,Great Blue Heron,Ardea herodias,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153161542/medium.jpeg,species,4950,1|2|3|67566|4929|4950|4956,97,97,Birds,Stream/Riparian Species
96528953,145308,Lesser Goldfinch,Spinus psaltria,crayonsss,https://inaturalist-open-data.s3.amazonaws.com/photos/160378797/medium.jpg,species,144410,1|2|3|7251|9079|144410|145308,94,94,,
