id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
6298887,2017-05-18 18:20:46,2017-05-18,2017-05-18 23:20:46 UTC,Central Time (US & Canada),9294,jcentavo,2017-05-21 07:17:05 UTC,2021-06-22 15:49:57 UTC,research,,https://www.inaturalist.org/observations/6298887,https://static.inaturalist.org/photos/7930220/medium.jpg,,"Pallas's, long-tongued, bat, Glossophaga, soricina, Lima, Peru, Miraflores, San, Ysidro, Pallas's long-tongued bat - Glossophaga soricina","Doing a little nectar feeding at night in Lima, Peru",3,0,false,,"Lima, Lima Metropolitan Area, Peru",-12.112298,-77.038149,,,,open,false,,"",Murciélago lengüetón,Glossophaga soricina,Pallas's Long-tongued Bat,Mammalia,41090,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina
19040789,2017/08/20 7:30 PM -05,2017-08-20,,Lima,1388099,ruben_guzman_p,2018-12-16 02:43:57 UTC,2021-06-23 00:51:40 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/19040789,https://inaturalist-open-data.s3.amazonaws.com/photos/29205519/medium.jpg,,"",                               ,2,0,false,,"El Cuadro, Chaclacayo, Perú",-11.9887876679,-76.7987463105,,,,open,false,,,Murciélagos con hoja nasal,Phyllostomidae,New World Leaf-nosed Bats,Mammalia,40991,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,,
30199758,2019/08/03 9:40 AM -05,2019-08-03,,Lima,1388099,ruben_guzman_p,2019-08-04 20:53:18 UTC,2019-08-04 22:01:24 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/30199758,https://inaturalist-open-data.s3.amazonaws.com/photos/47167723/medium.jpg,,"","Ejemplar encontrado muerto, falta la punta de la lengua.",0,0,false,,"El Cuadro, Chaclacayo 15472, Perú",-11.9888740405,-76.7985783506,,,,,false,,,Glossophaga,Glossophaga,Long-tongued Bats,Mammalia,41089,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,
32254759,Sat Sep 07 2019 00:04:43 GMT-0500 (GMT-5),2019-09-07,2019-09-07 05:04:43 UTC,Bogota,1448309,rafaelgarrido99,2019-09-07 05:27:35 UTC,2020-06-13 21:31:00 UTC,needs_id,,https://www.inaturalist.org/observations/32254759,https://static.inaturalist.org/photos/50573802/medium.jpg,,"",,0,0,false,3,"Botiger, Departamento de Lima, PE",-12.098625,-76.9901416667,4,4,,,false,,,Murciélagos lengüetones,Glossophaga,Long-tongued Bats,Mammalia,41089,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,
59183127,2020-09-09 7:17:58 PM GMT-05:00,2020-09-09,2020-09-10 00:17:58 UTC,Bogota,3591771,santosgumercindoperezhuanca,2020-09-11 01:09:40 UTC,2021-02-07 10:53:21 UTC,needs_id,,https://www.inaturalist.org/observations/59183127,https://static.inaturalist.org/photos/94547796/medium.jpeg,,"",,1,0,false,2,"15850, Perú",-12.3560365622,-76.7952805012,1343,1343,,,false,gps,gps,Кожаны,Eptesicus,House Bats,Mammalia,40477,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,
59603049,2017/08/27 7:18 PM -0500,2017-08-27,2017-08-28 00:18:00 UTC,Lima,3444914,bio_jpacheco,2020-09-14 19:06:12 UTC,2020-09-28 19:30:55 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/59603049,https://inaturalist-open-data.s3.amazonaws.com/photos/95244463/medium.jpeg,,"",Entrada de un refugio ubicado en un socavón abandonado de minería artesanal en Lomas de Ancón,0,0,false,,Peru,-11.7211298656,-77.007803082,129,31126,,obscured,true,,,Platalina genovensium,Platalina genovensium,long-snouted bat,Mammalia,41133,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platalina,Platalina genovensium
59606392,2015/10/18 5:28 AM -0500,2015-10-18,2015-10-18 10:28:00 UTC,Lima,3444914,bio_jpacheco,2020-09-14 19:37:03 UTC,2021-02-21 14:59:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59606392,https://inaturalist-open-data.s3.amazonaws.com/photos/95247848/medium.jpg,,"",Registro de individuo capturado a la salida de refugios previo a liberación,1,0,false,,"San Antonio, Perú",-12.664687,-76.667879,15,15,,open,false,,,Artibeus fraterculus,Artibeus fraterculus,Fraternal Fruit-eating Bat,Mammalia,40998,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus fraterculus
59606394,2015/10/18 5:28 AM -0500,2015-10-18,2015-10-18 10:28:00 UTC,Lima,3444914,bio_jpacheco,2020-09-14 19:37:03 UTC,2020-09-26 01:52:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59606394,https://inaturalist-open-data.s3.amazonaws.com/photos/95247866/medium.jpeg,,"",Registro de individuo capturado a la salida de refugios previo a liberación,1,0,false,,"San Antonio, Perú",-12.664687,-76.667879,,,,open,false,,,Fraternal Fruit-eating Bat,Artibeus fraterculus,Fraternal Fruit-eating Bat,Mammalia,40998,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus fraterculus
59606395,2015/10/26 3:10 PM -0500,2015-10-26,2015-10-26 20:10:00 UTC,Lima,3444914,bio_jpacheco,2020-09-14 19:37:03 UTC,2020-11-10 14:17:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59606395,https://inaturalist-open-data.s3.amazonaws.com/photos/95247875/medium.jpeg,,"",Registro de individuo capturado a la salida de refugios previo a liberación,4,0,false,,"San Antonio, Perú",-12.664687,-76.667879,,,,open,false,,,Murciélago Vampiro,Desmodus rotundus,Common Vampire Bat,Mammalia,41168,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,Desmodus rotundus
59606398,2016/08/04 1:48 AM -0500,2016-08-04,2016-08-04 06:48:00 UTC,Lima,3444914,bio_jpacheco,2020-09-14 19:37:04 UTC,2021-02-21 15:11:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59606398,https://inaturalist-open-data.s3.amazonaws.com/photos/95247915/medium.jpeg,,"",Registro de individuo capturado a la salida de refugios previo a liberación,1,0,false,,"Yauyos, Perú",-12.404167,-75.850833,,,,open,false,,,Sturnira bogotensis,Sturnira bogotensis,Bogotá Yellow-shouldered Bat,Mammalia,41040,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira bogotensis
