id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
3844943,Tue Mar 29 2016 07:02:34 GMT-0500 (CDT),2016-03-29,2016-03-29 12:02:34 UTC,Central Time (US & Canada),299455,globalgator7,2016-08-09 19:09:10 UTC,2020-08-21 15:12:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3844943,https://inaturalist-open-data.s3.amazonaws.com/photos/4502260/medium.jpg,,"",,5,0,false,3,"Boulevard De La Literatura, , Lima, PE",-12.0871284088,-77.009548594,25,25,,,false,,,Abeja melífera,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
5893884,2016-12-19 13:39,2016-12-19,2016-12-19 18:39:00 UTC,Lima,29409,eccentric_entomophile,2017-04-21 19:43:01 UTC,2021-07-20 09:23:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5893884,https://inaturalist-open-data.s3.amazonaws.com/photos/7347455/medium.jpg,,feeding,"Honey bee, pollinating a flower. ",4,0,false,,"Lima, Peru",-12.125932,-77.037022,60,60,,,false,,"",Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
7538426,Thu Aug 17 2017 14:36:35 GMT-0500 (GMT-5),2017-08-17,2017-08-17 19:36:35 UTC,Bogota,560444,erio_castro,2017-08-18 02:28:05 UTC,2020-08-31 02:19:27 UTC,research,,https://www.inaturalist.org/observations/7538426,https://static.inaturalist.org/photos/9834289/medium.jpg,,"",,4,0,false,3,"Calle 29, , Departamento de Lima, PE",-12.1056555,-77.0125888833,,,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
8222571,Mon Oct 02 2017 10:19:15 GMT-0500 (GMT-5),2017-10-02,2017-10-02 15:19:15 UTC,Bogota,561019,pierogiuffra98,2017-10-02 17:03:31 UTC,2020-08-31 04:31:28 UTC,research,,https://www.inaturalist.org/observations/8222571,https://static.inaturalist.org/photos/10899773/medium.jpg,,"",,4,0,false,3,"Lima, PE-LP, PE",-12.0685805,-77.0798638333,,,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
8873373,Mon Nov 20 2017 10:36:19 GMT-0500 (GMT-5),2017-11-20,2017-11-20 15:36:19 UTC,Bogota,711599,lanarizotabonita,2017-11-20 15:39:50 UTC,2020-08-31 02:16:15 UTC,needs_id,,https://www.inaturalist.org/observations/8873373,https://static.inaturalist.org/photos/11931745/medium.jpg,,"",,2,0,false,3,"Lima, , Lima, PE",-11.9828013796,-76.7953846884,5,5,,,false,,,Carpenter Bees,Xylocopa,Large Carpenter Bees,Insecta,51111,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,
9388670,Mon Nov 20 2017 15:00:22 GMT-0500 (GMT-5),2017-11-20,2017-11-20 20:00:22 UTC,Bogota,743047,lanarizaudiovisual,2018-01-07 02:52:44 UTC,2020-08-30 23:04:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/9388670,https://inaturalist-open-data.s3.amazonaws.com/photos/12756164/medium.jpg,,"",,3,0,false,3,"Lima, , Lima, PE",-11.9827708108,-76.7954514114,5,5,,,false,,,Carpenter Bees,Xylocopa,Large Carpenter Bees,Insecta,51111,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,
9527880,Fri Jan 19 2018 08:26:40 GMT-0500 (GMT-5),2018-01-19,2018-01-19 13:26:40 UTC,Bogota,561019,pierogiuffra98,2018-01-19 13:30:05 UTC,2020-08-30 23:03:49 UTC,research,,https://www.inaturalist.org/observations/9527880,https://static.inaturalist.org/photos/12992145/medium.jpg,,"",,4,0,false,3,"Parque de las Leyendas, , Departamento de Lima, PE",-12.0696166667,-77.0824583333,16,16,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
10055964,Sun Feb 25 2018 13:53:46 GMT-0500 (GMT-5),2018-02-25,2018-02-25 18:53:46 UTC,Bogota,580989,pablo82,2018-03-02 18:31:09 UTC,2020-08-30 23:00:32 UTC,research,,https://www.inaturalist.org/observations/10055964,https://static.inaturalist.org/photos/13841790/medium.jpg,,"",,3,0,false,3,"Carretera Panamericana Sur, , Departamento de Lima, PE",-12.2583346515,-76.9170843896,22,22,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
11381771,2018-4-07 11:12am,2018-04-07,2018-04-07 16:12:00 UTC,Central Time (US & Canada),24973,annikaml,2018-04-24 02:42:28 UTC,2020-08-21 15:13:34 UTC,research,CC-BY,https://www.inaturalist.org/observations/11381771,https://inaturalist-open-data.s3.amazonaws.com/photos/16221432/medium.jpeg,,"","",3,0,false,,"Lomas de Lachay, Peru",-11.361008,-77.363169,11,11,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
12607924,Sat May 19 2018 11:46:30 GMT-0500 (GMT-5),2018-05-19,2018-05-19 16:46:30 UTC,Bogota,892152,juancarloscano,2018-05-19 16:51:49 UTC,2020-08-13 16:04:15 UTC,needs_id,,https://www.inaturalist.org/observations/12607924,https://static.inaturalist.org/photos/18229383/medium.jpg,,"",,2,0,false,3,"Calle Los Geranios, , Departamento de Lima, PE",-11.978595,-76.76442,6,6,,,false,,,Neoxylocopa,Neoxylocopa,,Insecta,557049,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,
