id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
1551812,2015-05-27 08:30:00,2015-05-27,2015-05-27 05:30:00 -0700,Eastern Time (US & Canada),97128,lgertzer,2015-05-27 07:50:23 -0700,2019-05-12 16:17:45 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/1551812,https://inaturalist-open-data.s3.amazonaws.com/photos/1922322/medium.JPG,,sphinx moth,The moth had been sitting on the school door since at least 7:15 am.  It sat on the door all day.,1,0,false,,Annex Hill entrance,41.14969,-73.969397,25,25,,,false,,,Deidamia inscriptum,Deidamia inscriptum,Lettered Sphinx,Insecta,143452,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deidamia,Deidamia inscriptum
1556119,Thu May 28 2015 09:12:41 GMT-0400 (EDT),2015-05-28,2015-05-28 06:12:41 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:14:24 -0700,2016-08-29 10:44:52 -0700,casual,CC-BY-NC,http://www.inaturalist.org/observations/1556119,https://inaturalist-open-data.s3.amazonaws.com/photos/1926615/medium.jpg,,"","",2,0,true,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150221,-73.970341,5,5,,,false,,,Maples,Acer,maples,Plantae,47727,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,
1556120,Thu May 28 2015 09:14:17 GMT-0400 (EDT),2015-05-28,2015-05-28 06:14:17 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:14:43 -0700,2016-02-16 19:05:32 -0800,research,CC-BY-NC,http://www.inaturalist.org/observations/1556120,https://inaturalist-open-data.s3.amazonaws.com/photos/1926632/medium.jpg,,,,1,0,false,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150189,-73.970347,5,5,,,false,,,English Plantain,Plantago lanceolata,ribwort plantain,Plantae,53178,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata
1556121,Thu May 28 2015 09:13:47 GMT-0400 (EDT),2015-05-28,2015-05-28 06:13:47 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:14:25 -0700,2016-11-21 17:49:19 -0800,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1556121,https://inaturalist-open-data.s3.amazonaws.com/photos/1926631/medium.jpg,,"","",0,0,false,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150182,-73.970414,5,5,,,false,,,Kentucky Bluegrass,Poa pratensis,Kentucky bluegrass,Plantae,60307,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,Poa pratensis
1556122,Thu May 28 2015 09:13:07 GMT-0400 (EDT),2015-05-28,2015-05-28 06:13:07 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:14:25 -0700,2021-03-04 19:19:08 -0800,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1556122,https://inaturalist-open-data.s3.amazonaws.com/photos/1926612/medium.jpg,,"","",3,0,false,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150218,-73.970363,5,5,,,false,,,poison ivy,Magnoliopsida,dicots,Plantae,47124,Plantae,Tracheophyta,Magnoliopsida,,,,
1556146,Thu May 28 2015 09:16:24 GMT-0400 (EDT),2015-05-28,2015-05-28 06:16:24 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:17:10 -0700,2021-06-14 19:16:03 -0700,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1556146,https://inaturalist-open-data.s3.amazonaws.com/photos/1926652/medium.jpg,,"","",4,1,false,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150047,-73.970054,5,5,,,false,,,woodsorrels,Oxalis,woodsorrels,Plantae,47758,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,
1556147,Thu May 28 2015 09:16:43 GMT-0400 (EDT),2015-05-28,2015-05-28 06:16:43 -0700,Eastern Time (US & Canada),105635,mcgovernm97,2015-05-28 06:17:29 -0700,2020-09-20 18:55:07 -0700,casual,CC-BY-NC,http://www.inaturalist.org/observations/1556147,https://inaturalist-open-data.s3.amazonaws.com/photos/1926651/medium.jpg,,"",,4,1,true,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150055,-73.97003,5,5,,,false,,,Human,Homo sapiens,Human,Mammalia,43584,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
1556158,Thu May 28 2015 09:12:17 GMT-0400 (EDT),2015-05-28,2015-05-28 06:12:17 -0700,Eastern Time (US & Canada),105853,erics5,2015-05-28 06:20:43 -0700,2018-11-14 20:45:15 -0800,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1556158,https://inaturalist-open-data.s3.amazonaws.com/photos/1926664/medium.jpg,,"",,1,0,false,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.150218,-73.97062,5,5,,,false,,,Plants,Poales,"grasses, sedges, cattails, and allies",Plantae,47162,Plantae,Tracheophyta,Liliopsida,Poales,,,
1556159,Thu May 28 2015 09:10:16 GMT-0400 (EDT),2015-05-28,2015-05-28 06:10:16 -0700,Eastern Time (US & Canada),105853,erics5,2015-05-28 06:20:24 -0700,2017-06-24 16:35:48 -0700,casual,CC-BY-NC,http://www.inaturalist.org/observations/1556159,https://inaturalist-open-data.s3.amazonaws.com/photos/1926685/medium.jpg,,"","",0,0,true,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.15002,-73.97031,5,5,,,false,,,Rhododendron,Rhododendron,rhododendrons and azaleas,Plantae,49487,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,
1556160,Thu May 28 2015 09:11:52 GMT-0400 (EDT),2015-05-28,2015-05-28 06:11:52 -0700,Eastern Time (US & Canada),105853,erics5,2015-05-28 06:20:43 -0700,2018-11-14 20:45:16 -0800,casual,CC-BY-NC,http://www.inaturalist.org/observations/1556160,https://inaturalist-open-data.s3.amazonaws.com/photos/1926680/medium.jpg,,"",,1,0,true,3,"Clarkstown North Senior HS, Clarkstown, NY, US",41.15014,-73.970307,5,5,,,false,,,Plants,Hosta,hostas,Plantae,82095,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Hosta,
