image	image_credit	common_name	taxon_name	taxon_group	type	inat_link	taxon_id
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-california-quail.jpg?itok=PmEfY-ey	Nurit Katz	California Quail	Callipepla californica	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/1409-Callipepla-californica	1409
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-greater-roadrunner.jpg?itok=Jgn-SUWE	Nurit Katz	Greater Roadrunner	Geococcyx californianus	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/1986-Geococcyx-californianus	1986
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-great-blue-heron.jpg?itok=XDwahgWM	Nurit Katz	Great Blue Heron	Ardea herodias	Birds	Stream/Riparian Species	https://www.inaturalist.org/taxa/4956-Ardea-herodias	4956
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-red-tailed-hawk.jpg?itok=6r-x3Y-z	Nurit Katz	Red-tailed Hawk	Buteo jamaicensis	Birds	Neighborhood Species	https://www.inaturalist.org/taxa/5212-Buteo-jamaicensis	5212
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-hooded-merganser.jpg?itok=4GRzdRVy	Nurit Katz	Hooded Merganser	Lophodytes cucullatus	Birds	Stream/Riparian Species	https://www.inaturalist.org/taxa/7109-Lophodytes-cucullatus	7109
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-canyon-wren.jpg?itok=JsfYcGER	Nurit Katz	Canyon Wren	Catherpes mexicanus	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/7464-Catherpes-mexicanus	7464
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-spotted-towhee.jpg?itok=moWHdGpv	Nurit Katz	Spotted Towhee	Pipilo maculatus	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/9420-Pipilo-maculatus	9420
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-western-meadowlark.jpg?itok=NC2MT2yj	Nurit Katz	Western Meadowlark	Sturnella neglecta	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/9535-Sturnella-neglecta	9535
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-red-winged-blackbird.jpg?itok=SZ_VS38c	Nurit Katz	Red-winged Blackbird	Agelaius phoeniceus	Birds	Stream/Riparian Species	https://www.inaturalist.org/taxa/9744-Agelaius-phoeniceus	9744
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-western-bluebird.jpg?itok=NE-tbvaf	Nurit Katz	Western Bluebird	Sialia mexicana	Birds	Neighborhood Species	https://www.inaturalist.org/taxa/12937-Sialia-mexicana	12937
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-acorn-woodpecker.jpg?itok=c4c9phN6	Nurit Katz	Acorn Woodpecker	Melanerpes formicivorus	Birds	Neighborhood Species	https://www.inaturalist.org/taxa/18209-Melanerpes-formicivorus	18209
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-great-horned-owl.jpg?itok=X4e8kHIu	Nurit Katz	Great Horned Owl	Bubo virginianus	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/20044-Bubo-virginianus	20044
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-black-bellied-salamander.jpg?itok=8vGcsydP	Daniel S. Cooper	Black-bellied Slender Salamander	Batrachoseps nigriventris	Amphibians	Stream/Riparian Species	https://www.inaturalist.org/taxa/27474-Batrachoseps-nigriventris	27474
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-gopher-snake.jpg?itok=SK_cR7M2	Daniel S. Cooper	Gopher Snake	Pituophis catenifer	Reptiles	Park/Natural Area Species	https://www.inaturalist.org/taxa/29044-Pituophis-catenifer	29044
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-side-blotched-lizard.jpg?itok=onExgZJk	Nurit Katz	Common Side-blotched Lizard	Uta stansburiana	Reptiles	Park/Natural Area Species	https://www.inaturalist.org/taxa/36094-Uta-stansburiana	36094
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-bobcat.jpg?itok=XtAUcmAx	Robert Martinez	Bobcat	Lynx rufus	Mammals	Park/Natural Area Species	https://www.inaturalist.org/taxa/41976-Lynx-rufus	41976
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-fox.jpg?itok=r1qLBbz0	Robert Martinez	Gray Fox	Urocyon cinereoargenteus	Mammals	Park/Natural Area Species	https://www.inaturalist.org/taxa/42076-Urocyon-cinereoargenteus	42076
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-mule-deer.jpg?itok=RZmVyrEw	Nurit Katz	Mule Deer	Odocoileus hemionus	Mammals	Park/Natural Area Species	https://www.inaturalist.org/taxa/42220-Odocoileus-hemionus	42220
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-dusky-footed-woodrat-1.jpg?itok=fPYgj39c	Jeff Adams Stauffer	Dusky Footed Woodrat	Neotoma fuscipes	Mammals	Park/Natural Area Species	https://www.inaturalist.org/taxa/44749-Neotoma-fuscipes	44749
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-velvet-ant.jpg?itok=yHoFrxDp	Daniel S. Cooper	Velvet Ants	Mutillidae	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/48511-Mutillidae	48511
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-monarch-butterfly.jpg?itok=UNVdeO38	iNaturalist/Kyle Nessen	Monarch	Danaus plexippus	Invertebrates	Neighborhood Species	https://www.inaturalist.org/taxa/48662-Danaus-plexippus	48662
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-lorquin_s-admiral.jpg?itok=jIX3jSoW	Daniel S. Cooper	Lorquin's Admiral	Limenitis lorquini	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/50880-Limenitis-lorquini	50880
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-bumble-bee.jpg?itok=HxXeV9mq	Daniel S. Cooper	Bumblebees	Bombus sp.	Invertebrates	Neighborhood Species	https://www.inaturalist.org/taxa/52775-Bombus	52775
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-toyon.jpg?itok=DY6FEZL-	Nurit Katz	Toyon	Heteromeles arbutifolia	Plants	Park/Natural Area Species	https://www.inaturalist.org/taxa/53405-Heteromeles-arbutifolia	53405
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-california-rose.jpg?itok=lAFx5wCZ	Nurit Katz	California Wild Rose	Rosa californica	Plants	Park/Natural Area Species	https://www.inaturalist.org/taxa/53437-Rosa-californica	53437
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-sara-orangetip.jpg?itok=lRooaS_V	iNaturalist/Phytographer	Sara Orangetip	Anthocharis sara	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/59124-Anthocharis-sara	59124
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-western-toad.jpg?itok=twlPka3n	iNaturalist/Jesse Rorabaugh	Western Toad	Anaxyrus boreas	Amphibians	Stream/Riparian Species	https://www.inaturalist.org/taxa/64970-Anaxyrus-boreas	64970
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-harvester-ants.jpg?itok=90cO2J3f	Daniel S. Cooper	Harvester Ants	Pogonomyrmex (Genus)	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/69114-Pogonomyrmex	69114
