scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Physalia physalis,Portuguese Man o' War,Animalia,117302,
Aurelia marginalis,Southern Moon Jelly,Animalia,986245,
Chrysaora colorata,Purple-striped Sea Nettle,Animalia,69839,
Chrysaora fuscescens,Pacific Sea Nettle,Animalia,48479,
Chrysaora achlyos,Black Jelly,Animalia,83415,
Pelagia noctiluca,Mauve Stinger,Animalia,256089,
Velella velella,By-the-wind Sailor,Animalia,59698,
Mola mola,Common Mola,Actinopterygii,49601,
Mola,,Actinopterygii,49604,
Balaenoptera musculus,Blue Whale,Mammalia,41553,
Arothron firmamentum,Starry Toadfish,Actinopterygii,445671,
Pyrostremma spinosum,Giant Salp,Animalia,370954,
Schedophilus velaini,Ocean Blue-eye Trevalla,Actinopterygii,540910,
Tremoctopus robsoni,Robson's Blanket Octopus,Mollusca,432549,
Bathypterois,,Actinopterygii,86896,
Mola alexandrini,Bump-head Mola,Actinopterygii,604230,
Cyanea,Lion's Mane Jellies,Animalia,154711,
Cassiopea,Upsidedown Jellies,Animalia,128144,
Cladocora,,Animalia,87507,
Hydrozoa,Hydrozoans,Animalia,48921,
Antillogorgia,Atlantic Sea Plumes,Animalia,496338,
Chrysaora hysoscella,Compass Jelly,Animalia,360314,
Phyllorhiza punctata,Australian Spotted Jelly,Animalia,199347,
Pocillopora elegans,,Animalia,109865,
Porpita porpita,Blue Button,Animalia,59683,
Lepas anserifera,Goose Barnacle,Animalia,48778,
Cyaneidae,Cyaneid Jellies,Animalia,154710,
Chrysaora quinquecirrha,Atlantic Sea Nettle,Animalia,48478,
Planes minutus,Gulfweed Crab,Animalia,295349,
Glaucus atlanticus,Sea Swallow,Mollusca,50498,
Recluzia lutea,,Mollusca,565367,
Glaucilla bennettae,,Mollusca,861465,
Janthina exigua,Dwarf Violet Snail,Mollusca,254081,
Chloeia inermis,,Animalia,387555,
Themisto australis,,Animalia,973000,
Phronima sedentaria,parasitic hyperiid amphipod,Animalia,260959,
Hydrophis platurus,Yellow-bellied Sea Snake,Reptilia,35164,
Brachyura,True Crabs,Animalia,121639,
Euphausiidae,Euphotic Krill,Animalia,195134,
Aurelia,Moon Jellies,Animalia,48329,
Phoca vitulina,Harbor Seal,Mammalia,41708,True
Aequorea,Crystal Jellies,Animalia,191502,
Mnemiopsis leidyi,Common Comb Jelly,Animalia,180788,
Janthina janthina,Violet Sea Snail,Mollusca,121654,
Lepas anatifera,Pelagic Gooseneck Barnacle,Animalia,69949,
Eucheilota bakeri,Bean Clam  Hydroid,Animalia,520274,
Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,
Eurhamphaea vexilligera,,Animalia,605549,
Thunnus alalunga,Albacore,Actinopterygii,114122,
Isurus oxyrinchus,Shortfin Mako,Animalia,69677,
Zalophus californianus,California Sea Lion,Mammalia,41740,True
Allothunnus fallai,Slender tuna,Actinopterygii,187047,
Copula sivickisi,,Animalia,874230,
Desmonema gaudichaudi,Spotted Jelly,Animalia,410649,
Lagocephalus lagocephalus,Ocean Puffer,Actinopterygii,120635,
Lepas,Goose Barnacles,Animalia,48780,
Phyllorhiza,,Animalia,199351,
Crambionella,,Animalia,644444,
