taxon_id,common_name,scientific_name,rank,parent_id,taxon_ids
1,Animals,Animalia,kingdom,48460,1
47534,Cnidarians,Cnidaria,phylum,1,1|47534
48921,Hydrozoans,Hydrozoa,class,47534,1|47534|48921
152823,Siphonophores,Siphonophorae,order,48921,1|47534|48921|152823
117304,Man O' Wars,Physaliidae,family,152823,1|47534|48921|152823|117304
117305,Man O' Wars,Physalia,genus,117304,1|47534|48921|152823|117304|117305
117302,Portuguese Man o' War,Physalia physalis,species,117305,1|47534|48921|152823|117304|117305|117302
48332,True Jellies,Scyphozoa,class,47534,1|47534|48332
48331,Flag-mouth Jellies,Semaeostomeae,order,48332,1|47534|48332|48331
48330,Ulmarid Jellies,Ulmaridae,family,48331,1|47534|48332|48331|48330
48329,Moon Jellies,Aurelia,genus,48330,1|47534|48332|48331|48330|48329
986245,Southern Moon Jelly,Aurelia marginalis,species,48329,1|47534|48332|48331|48330|48329|986245
48482,Pelagiid Jellies,Pelagiidae,family,48331,1|47534|48332|48331|48482
48483,Sea Nettles,Chrysaora,genus,48482,1|47534|48332|48331|48482|48483
69839,Purple-striped Sea Nettle,Chrysaora colorata,species,48483,1|47534|48332|48331|48482|48483|69839
48479,Pacific Sea Nettle,Chrysaora fuscescens,species,48483,1|47534|48332|48331|48482|48483|48479
83415,Black Jelly,Chrysaora achlyos,species,48483,1|47534|48332|48331|48482|48483|83415
247213,Purple-striped Jellies,Pelagia,genus,48482,1|47534|48332|48331|48482|247213
256089,Mauve Stinger,Pelagia noctiluca,species,247213,1|47534|48332|48331|48482|247213|256089
48922,Athecate Hydroids,Anthoathecata,order,48921,1|47534|48921|48922
59692,,Porpitidae,family,48922,1|47534|48921|48922|59692
59699,,Velella,genus,59692,1|47534|48921|48922|59692|59699
59698,By-the-wind Sailor,Velella velella,species,59699,1|47534|48921|48922|59692|59699|59698
2,Chordates,Chordata,phylum,1,1|2
47178,Ray-finned Fishes,Actinopterygii,class,2,1|2|47178
47177,Puffers and Filefishes,Tetraodontiformes,order,47178,1|2|47178|47177
49607,Molas,Molidae,family,47177,1|2|47178|47177|49607
49604,,Mola,genus,49607,1|2|47178|47177|49607|49604
49601,Common Mola,Mola mola,species,49604,1|2|47178|47177|49607|49604|49601
40151,Mammals,Mammalia,class,2,1|2|40151
152870,Even-toed Ungulates and Cetaceans,Artiodactyla,order,40151,1|2|40151|152870
41546,Rorquals,Balaenopteridae,family,152870,1|2|40151|152870|41546
41547,,Balaenoptera,genus,41546,1|2|40151|152870|41546|41547
41553,Blue Whale,Balaenoptera musculus,species,41547,1|2|40151|152870|41546|41547|41553
49266,Pufferfishes,Tetraodontidae,family,47177,1|2|47178|47177|49266
83319,,Arothron,genus,49266,1|2|47178|47177|49266|83319
445671,Starry Toadfish,Arothron firmamentum,species,83319,1|2|47178|47177|49266|83319|445671
51104,Thaliaceans,Thaliacea,class,2,1|2|51104
51105,Pyrosomes,Pyrosomatida,order,51104,1|2|51104|51105
51103,Pyrosomes,Pyrosomatidae,family,51105,1|2|51104|51105|51103
370955,,Pyrostremma,genus,51103,1|2|51104|51105|51103|370955
370954,Giant Salp,Pyrostremma spinosum,species,370955,1|2|51104|51105|51103|370955|370954
1303739,,Scombriformes,order,47178,1|2|47178|1303739
51416,Medusafishes,Centrolophidae,family,1303739,1|2|47178|1303739|51416
91906,,Schedophilus,genus,51416,1|2|47178|1303739|51416|91906
540910,Ocean Blue-eye Trevalla,Schedophilus velaini,species,91906,1|2|47178|1303739|51416|91906|540910
47115,Molluscs,Mollusca,phylum,1,1|47115
47459,Cephalopods,Cephalopoda,class,47115,1|47115|47459
47458,Octopuses,Octopoda,order,47459,1|47115|47459|47458
245311,Blanket Octopuses,Tremoctopodidae,family,47458,1|47115|47459|47458|245311
246409,Blanket Octopuses,Tremoctopus,genus,245311,1|47115|47459|47458|245311|246409
432549,Robson's Blanket Octopus,Tremoctopus robsoni,species,246409,1|47115|47459|47458|245311|246409|432549
49409,"Grinners, Lizardfishes, and Allies",Aulopiformes,order,47178,1|2|47178|49409
85841,Deepsea Tripod Fishes,Ipnopidae,family,49409,1|2|47178|49409|85841
86896,,Bathypterois,genus,85841,1|2|47178|49409|85841|86896
604230,Bump-head Mola,Mola alexandrini,species,49604,1|2|47178|47177|49607|49604|604230
154710,Cyaneid Jellies,Cyaneidae,family,48331,1|47534|48332|48331|154710
154711,Lion's Mane Jellies,Cyanea,genus,154710,1|47534|48332|48331|154710|154711
69831,Root-mouth Jellies,Rhizostomeae,order,48332,1|47534|48332|69831
128143,Upsidedown Jellies,Cassiopeidae,family,69831,1|47534|48332|69831|128143
128144,Upsidedown Jellies,Cassiopea,genus,128143,1|47534|48332|69831|128143|128144
47533,Sea Anemones and Corals,Anthozoa,class,47534,1|47534|47533
47532,Stony Corals,Scleractinia,order,47533,1|47534|47533|47532
87507,,Cladocora,genus,47532,1|47534|47533|47532|87507
51015,Soft Corals,Alcyonacea,order,47533,1|47534|47533|51015
120131,,Gorgoniidae,family,51015,1|47534|47533|51015|120131
496338,Atlantic Sea Plumes,Antillogorgia,genus,120131,1|47534|47533|51015|120131|496338
360314,Compass Jelly,Chrysaora hysoscella,species,48483,1|47534|48332|48331|48482|48483|360314
69832,Mastigiid Jellies,Mastigiidae,family,69831,1|47534|48332|69831|69832
199351,,Phyllorhiza,genus,69832,1|47534|48332|69831|69832|199351
199347,Australian Spotted Jelly,Phyllorhiza punctata,species,199351,1|47534|48332|69831|69832|199351|199347
60546,,Pocilloporidae,family,47532,1|47534|47533|47532|60546
60547,Cauliflower Corals,Pocillopora,genus,60546,1|47534|47533|47532|60546|60547
109865,,Pocillopora elegans,species,60547,1|47534|47533|47532|60546|60547|109865
59679,,Porpita,genus,59692,1|47534|48921|48922|59692|59679
59683,Blue Button,Porpita porpita,species,59679,1|47534|48921|48922|59692|59679|59683
47120,Arthropods,Arthropoda,phylum,1,1|47120
1091452,Barnacles and Copepods,Hexanauplia,class,47120,1|47120|1091452
1066703,,Scalpellomorpha,order,1091452,1|47120|1091452|1066703
48779,Goose Barnacles,Lepadidae,family,1066703,1|47120|1091452|1066703|48779
48780,Goose Barnacles,Lepas,genus,48779,1|47120|1091452|1066703|48779|48780
48778,Goose Barnacle,Lepas anserifera,species,48780,1|47120|1091452|1066703|48779|48780|48778
48478,Atlantic Sea Nettle,Chrysaora quinquecirrha,species,48483,1|47534|48332|48331|48482|48483|48478
47187,Malacostracans,Malacostraca,class,47120,1|47120|47187
47186,Decapods,Decapoda,order,47187,1|47120|47187|47186
47190,Shore Crabs,Grapsidae,family,47186,1|47120|47187|47186|47190
85040,,Planes,genus,47190,1|47120|47187|47186|47190|85040
295349,Gulfweed Crab,Planes minutus,species,85040,1|47120|47187|47186|47190|85040|295349
47114,Gastropods,Gastropoda,class,47115,1|47115|47114
47113,Nudibranchs,Nudibranchia,order,47114,1|47115|47114|47113
48756,Sea Swallows,Glaucidae,family,47113,1|47115|47114|47113|48756
50499,,Glaucus,genus,48756,1|47115|47114|47113|48756|50499
50498,Sea Swallow,Glaucus atlanticus,species,50499,1|47115|47114|47113|48756|50499|50498
122558,Wentletrap and Violet Snails,Epitoniidae,family,47114,1|47115|47114|122558
246548,,Recluzia,genus,122558,1|47115|47114|122558|246548
565367,,Recluzia lutea,species,246548,1|47115|47114|122558|246548|565367
861464,,Glaucilla,genus,48756,1|47115|47114|47113|48756|861464
861465,,Glaucilla bennettae,species,861464,1|47115|47114|47113|48756|861464|861465
121656,Violet Snails,Janthina,genus,122558,1|47115|47114|122558|121656
254081,Dwarf Violet Snail,Janthina exigua,species,121656,1|47115|47114|122558|121656|254081
47491,Segmented Worms,Annelida,phylum,1,1|47491
47490,Polychaete Worms,Polychaeta,class,47491,1|47491|47490
152935,,Amphinomida,order,47490,1|47491|47490|152935
49522,Bristle Worms,Amphinomidae,family,152935,1|47491|47490|152935|49522
194941,,Chloeia,genus,49522,1|47491|47490|152935|49522|194941
387555,,Chloeia inermis,species,194941,1|47491|47490|152935|49522|194941|387555
47628,Amphipods,Amphipoda,order,47187,1|47120|47187|47628
195355,,Hyperiidae,family,47628,1|47120|47187|47628|195355
340951,,Themisto,genus,195355,1|47120|47187|47628|195355|340951
973000,,Themisto australis,species,340951,1|47120|47187|47628|195355|340951|973000
195359,,Phronimidae,family,47628,1|47120|47187|47628|195359
195337,,Phronima,genus,195359,1|47120|47187|47628|195359|195337
260959,parasitic hyperiid amphipod,Phronima sedentaria,species,195337,1|47120|47187|47628|195359|195337|260959
26036,Reptiles,Reptilia,class,2,1|2|26036
26172,Snakes and Lizards,Squamata,order,26036,1|2|26036|26172
30403,Elapid Snakes,Elapidae,family,26172,1|2|26036|26172|30403
35201,,Hydrophis,genus,30403,1|2|26036|26172|30403|35201
35164,Yellow-bellied Sea Snake,Hydrophis platurus,species,35201,1|2|26036|26172|30403|35201|35164
121639,True Crabs,Brachyura,infraorder,47186,1|47120|47187|47186|121639
153112,krill,Euphausiacea,order,47187,1|47120|47187|153112
195134,Euphotic Krill,Euphausiidae,family,153112,1|47120|47187|153112|195134
48925,Thecate Hydroids,Leptothecata,order,48921,1|47534|48921|48925
171652,Many-ribbed Jellies,Aequoreidae,family,48925,1|47534|48921|48925|171652
191502,Crystal Jellies,Aequorea,genus,171652,1|47534|48921|48925|171652|191502
51508,Comb Jellies,Ctenophora,phylum,1,1|51508
117708,,Tentaculata,class,51508,1|51508|117708
152925,,Lobata,order,117708,1|51508|117708|152925
171735,,Bolinopsidae,family,152925,1|51508|117708|152925|171735
171725,,Mnemiopsis,genus,171735,1|51508|117708|152925|171735|171725
180788,Common Comb Jelly,Mnemiopsis leidyi,species,171725,1|51508|117708|152925|171735|171725|180788
121654,Violet Sea Snail,Janthina janthina,species,121656,1|47115|47114|122558|121656|121654
