taxon_id,common_name,scientific_name,has_globi
1,Animals,Animalia,
47534,Cnidarians,Cnidaria,
48921,Hydrozoans,Hydrozoa,
152823,Siphonophores,Siphonophorae,
117304,Man O' Wars,Physaliidae,
117305,Man O' Wars,Physalia,
117302,Portuguese Man o' War,Physalia physalis,
48332,True Jellies,Scyphozoa,
48331,Flag-mouth Jellies,Semaeostomeae,
48330,Ulmarid Jellies,Ulmaridae,
48329,Moon Jellies,Aurelia,
986245,Southern Moon Jelly,Aurelia marginalis,
48482,Pelagiid Jellies,Pelagiidae,
48483,Sea Nettles,Chrysaora,
69839,Purple-striped Sea Nettle,Chrysaora colorata,
48479,Pacific Sea Nettle,Chrysaora fuscescens,
83415,Black Jelly,Chrysaora achlyos,
247213,Purple-striped Jellies,Pelagia,
256089,Mauve Stinger,Pelagia noctiluca,
48922,Athecate Hydroids,Anthoathecata,
59692,,Porpitidae,
59699,,Velella,
59698,By-the-wind Sailor,Velella velella,
2,Chordates,Chordata,
47178,Ray-finned Fishes,Actinopterygii,
47177,Puffers and Filefishes,Tetraodontiformes,
49607,Molas,Molidae,
49604,,Mola,
49601,Common Mola,Mola mola,
40151,Mammals,Mammalia,
152870,Even-toed Ungulates and Cetaceans,Artiodactyla,
41546,Rorquals,Balaenopteridae,
41547,,Balaenoptera,
41553,Blue Whale,Balaenoptera musculus,
49266,Pufferfishes,Tetraodontidae,
83319,,Arothron,
445671,Starry Toadfish,Arothron firmamentum,
51104,Thaliaceans,Thaliacea,
51105,Pyrosomes,Pyrosomatida,
51103,Pyrosomes,Pyrosomatidae,
370955,,Pyrostremma,
370954,Giant Salp,Pyrostremma spinosum,
1303739,,Scombriformes,
51416,Medusafishes,Centrolophidae,
91906,,Schedophilus,
540910,Ocean Blue-eye Trevalla,Schedophilus velaini,
47115,Molluscs,Mollusca,
47459,Cephalopods,Cephalopoda,
47458,Octopuses,Octopoda,
245311,Blanket Octopuses,Tremoctopodidae,
246409,Blanket Octopuses,Tremoctopus,
432549,Robson's Blanket Octopus,Tremoctopus robsoni,
49409,"Grinners, Lizardfishes, and Allies",Aulopiformes,
85841,Deepsea Tripod Fishes,Ipnopidae,
86896,,Bathypterois,
604230,Bump-head Mola,Mola alexandrini,
154710,Cyaneid Jellies,Cyaneidae,
154711,Lion's Mane Jellies,Cyanea,
69831,Root-mouth Jellies,Rhizostomeae,
128143,Upsidedown Jellies,Cassiopeidae,
128144,Upsidedown Jellies,Cassiopea,
47533,Sea Anemones and Corals,Anthozoa,
47532,Stony Corals,Scleractinia,
87507,,Cladocora,
51015,Soft Corals,Alcyonacea,
120131,,Gorgoniidae,
496338,Atlantic Sea Plumes,Antillogorgia,
360314,Compass Jelly,Chrysaora hysoscella,
69832,Mastigiid Jellies,Mastigiidae,
199351,,Phyllorhiza,
199347,Australian Spotted Jelly,Phyllorhiza punctata,
60546,,Pocilloporidae,
60547,Cauliflower Corals,Pocillopora,
109865,,Pocillopora elegans,
59679,,Porpita,
59683,Blue Button,Porpita porpita,
47120,Arthropods,Arthropoda,
1091452,Barnacles and Copepods,Hexanauplia,
1066703,,Scalpellomorpha,
48779,Goose Barnacles,Lepadidae,
48780,Goose Barnacles,Lepas,
48778,Goose Barnacle,Lepas anserifera,
48478,Atlantic Sea Nettle,Chrysaora quinquecirrha,
47187,Malacostracans,Malacostraca,
47186,Decapods,Decapoda,
47190,Shore Crabs,Grapsidae,
85040,,Planes,
295349,Gulfweed Crab,Planes minutus,
47114,Gastropods,Gastropoda,
47113,Nudibranchs,Nudibranchia,
48756,Sea Swallows,Glaucidae,
50499,,Glaucus,
50498,Sea Swallow,Glaucus atlanticus,
122558,Wentletrap and Violet Snails,Epitoniidae,
246548,,Recluzia,
565367,,Recluzia lutea,
861464,,Glaucilla,
861465,,Glaucilla bennettae,
121656,Violet Snails,Janthina,
254081,Dwarf Violet Snail,Janthina exigua,
47491,Segmented Worms,Annelida,
47490,Polychaete Worms,Polychaeta,
152935,,Amphinomida,
49522,Bristle Worms,Amphinomidae,
194941,,Chloeia,
387555,,Chloeia inermis,
47628,Amphipods,Amphipoda,
195355,,Hyperiidae,
340951,,Themisto,
973000,,Themisto australis,
195359,,Phronimidae,
195337,,Phronima,
260959,parasitic hyperiid amphipod,Phronima sedentaria,
26036,Reptiles,Reptilia,
26172,Snakes and Lizards,Squamata,
30403,Elapid Snakes,Elapidae,
35201,,Hydrophis,
35164,Yellow-bellied Sea Snake,Hydrophis platurus,
121639,True Crabs,Brachyura,
153112,krill,Euphausiacea,
195134,Euphotic Krill,Euphausiidae,
48925,Thecate Hydroids,Leptothecata,
171652,Many-ribbed Jellies,Aequoreidae,
191502,Crystal Jellies,Aequorea,
51508,Comb Jellies,Ctenophora,
117708,,Tentaculata,
152925,,Lobata,
171735,,Bolinopsidae,
171725,,Mnemiopsis,
180788,Common Comb Jelly,Mnemiopsis leidyi,
121654,Violet Sea Snail,Janthina janthina,
69949,Pelagic Gooseneck Barnacle,Lepas anatifera,
60679,,Lovenellidae,
60678,,Eucheilota,
520274,Bean Clam  Hydroid,Eucheilota bakeri,
41479,Oceanic Dolphins,Delphinidae,
41480,Bottlenose Dolphins,Tursiops,
41482,Common Bottlenose Dolphin,Tursiops truncatus,
510794,,Eurhamphaeidae,
510793,,Eurhamphaea,
605549,,Eurhamphaea vexilligera,
47266,"Mackerels, Tunas, and Bonitos",Scombridae,
69676,Bluefin Tunas,Thunnus,
114122,Albacore,Thunnus alalunga,
47273,Elasmobranchs,Elasmobranchii,
50870,Mackerel Sharks,Lamniformes,
50874,Mackerel Sharks,Lamnidae,
69678,Mako Sharks,Isurus,
69677,Shortfin Mako,Isurus oxyrinchus,
86352,,Allothunnus,
187047,Slender tuna,Allothunnus fallai,
68095,Box Jellies,Cubozoa,
246149,,Carybdeida,
814057,,Tripedaliidae,
874232,,Copula,
874230,,Copula sivickisi,
379633,,Desmonema,
410649,Spotted Jelly,Desmonema gaudichaudi,
89310,Pelagic Pufferfishes,Lagocephalus,
120635,Ocean Puffer,Lagocephalus lagocephalus,
333777,Fat-armed Jellies,Catostylidae,
644444,,Crambionella,
502402,,Acromitus,
502401,River Jelly,Acromitus flagellatus,
333778,Blubber Jellies,Catostylus,
333776,Blue Blubber Jelly,Catostylus mosaicus,
69675,Yellowfin Tuna,Thunnus albacares,
122326,Salps,Salpida,
122325,Salps,Salpidae,
643486,,Soestia,
690046,,Soestia zonaria,
192711,Violet Globe Snail,Janthina globosa,
51219,,Aglaopheniidae,
51218,Ostrich-Plume Hydroids,Aglaophenia,
410430,Raft-fish,Schedophilus maculatus,
3,Birds,Aves,
67561,Shorebirds and Allies,Charadriiformes,
71295,"Auks, Murres, Guillemots, and Puffins",Alcidae,
4413,True Guillemots,Cepphus,
4415,Pigeon Guillemot,Cepphus columba,
50532,,Fionidae,
50533,,Fiona,
50531,,Fiona pinnata,
41573,Carnivorans,Carnivora,
41687,Earless Seals,Phocidae,
41707,,Phoca,
41708,Harbor Seal,Phoca vitulina,
117766,Pacific Harbor Seal,Phoca vitulina richardii,
196615,Stingrays,Myliobatiformes,
715805,Devil Rays,Mobulidae,
49697,Devil Rays,Mobula,
105923,Spinetail Devil Ray,Mobula mobular,
1303727,,Carangiformes,
47232,Jacks,Carangidae,
90150,,Naucrates,
118710,Pilotfish,Naucrates ductor,
152923,,Cestida,
153457,Venus' Girdles,Cestidae,
153458,,Cestum,
153456,Venus' Girdle,Cestum veneris,
48222,"kelp, diatoms, and allies",Chromista,
48221,,Ochrophyta,
48220,brown algae,Phaeophyceae,
48219,Fucoids,Fucales,
126125,Sargassum and Allies,Sargassaceae,
130178,Sargassum,Sargassum,
85514,Cyclopoid Copepods,Cyclopoida,
329113,,Sapphirinidae,
329118,,Sapphirina,
47797,Sea Anemones,Actiniaria,
346895,,Boloceroididae,
346894,,Boloceroides,
472036,Swimming anemone,Boloceroides mcmurrichi,
245629,,Carybdeidae,
247158,,Carybdea,
528591,Jimble,Carybdea rastoni,
49235,Herrings,Clupeiformes,
1303607,,Spratelloididae,
92179,,Spratelloides,
195136,,Euphausia,
995121,Mosaic Jellies,Leptobrachidae,
487380,,Thysanostoma,
509561,Pelagic Purple Jelly,Thysanostoma loriferum,
105926,Chilean Devil Ray,Mobula tarapacana,
195481,,Oceaniidae,
195485,,Turritopsis,
153461,,Leucotheidae,
153460,,Leucothea,
51485,"Needlefishes, Halfbeaks, and Allies",Beloniformes,
57298,Halfbeaks,Hemiramphidae,
57301,,Hyporhamphus,
353484,Eastern Sea Garfish,Hyporhamphus australis,
256070,,Aequorea macrodactyla,
117709,Cydippids,Cydippida,
117710,Sea Gooseberries,Pleurobrachiidae,
117711,,Pleurobrachia,
85108,Ram's Horn Squids,Spirulida,
85109,Ram's Horn Squids,Spirulidae,
85110,,Spirula,
85107,Ram's Horn Squid,Spirula spirula,
52319,Flatworms,Platyhelminthes,
52318,Polyclad Flatworms,Polycladida,
554753,Hoodwinker Mola,Mola tecta,
494535,Munidid Squat Lobsters,Munididae,
248332,,Munida,
486999,Swarming Squat Lobster,Munida gregaria,
41524,Common Dolphins,Delphinus,
41525,Long-beaked Common Dolphin,Delphinus capensis,
246134,Pelagic Squids,Oegopsida,
83316,Flying Squids,Ommastrephidae,
361766,,Todarodes,
432545,European Flying Squid,Todarodes sagittatus,
764920,Versurigid Jellies,Versurigidae,
710376,,Versuriga,
325995,Victoria's Crystal Jelly,Aequorea victoria,
779271,Egg-yolk Jellies,Phacellophoridae,
52967,,Phacellophora,
52966,Egg-yolk Jelly,Phacellophora camtschatica,
60670,,Mitrocomidae,
60669,,Mitrocoma,
493918,,Mitrocoma cellularia,
786996,Pacific Lion's Mane Jelly,Cyanea ferruginea,
130235,Greater Moon Jelly,Aurelia labiata,
4503,Puffins,Fratercula,
4509,Tufted Puffin,Fratercula cirrhata,
41565,,Megaptera,
41566,Humpback Whale,Megaptera novaeangliae,
4558,Synthliboramphus Murrelets,Synthliboramphus,
4561,Ancient Murrelet,Synthliboramphus antiquus,
67565,Tubenoses,Procellariiformes,
71326,Northern Storm-Petrels,Hydrobatidae,
4063,,Oceanodroma,
4080,Leach's Storm-Petrel,Oceanodroma leucorhoa,
41562,Fin Whale,Balaenoptera physalus,
41437,Porpoises,Phocoenidae,
41445,,Phocoenoides,
41446,Dall's Porpoise,Phocoenoides dalli,
4515,Murres,Uria,
4519,Common Murre,Uria aalge,
41770,Mustelids,Mustelidae,
41859,,Enhydra,
41860,Sea Otter,Enhydra lutris,
133061,Northern Sea Otter,Enhydra lutris kenyoni,
